codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
19998394-04;19998394-04;1999839404;;;;15237;;;5436;;;11396;;;4368;;;1120;;0;37557;0;{'1': [14851, 6660, 8708, 2054, 6151, 6155, 10768, 11793, 2066, 10773, 7191, 10263, 2073, 13856, 7201, 7203, 12326, 2087, 7207, 5161, 7208, 12843, 10796, 4141, 8237, 11822, 13870, 12850, 7220, 12345, 9786, 11835, 12857, 6717, 12350, 14399, 12864, 13888, 5188, 11844, 12871, 3656, 13898, 8779, 9804, 4173, 12878, 13902, 14412, 10834, 12885, 6743, 6744, 10329, 7770, 13911, 12892, 7773, 7774, 8286, 13913, 10338, 10850, 12899, 7270, 2151, 7785, 10345, 12906, 12908, 8813, 6254, 4722, 5234, 6259, 6264, 6269, 10366, 14974, 5760, 8320, 1666, 6274, 8835, 8326, 5767, 6279, 7815, 9868, 8846, 8335, 8336, 11407, 5268, 4757, 10389, 14887, 153, 154, 155, 11930, 13983, 10913, 7842, 8866, 8867, 8869, 13985, 12455, 8872, 13989, 13994, 7341, 6831, 177, 7858, 179, 10933, 7353, 12473, 189, 7869, 12477, 11968, 5825, 13776, 14525, 14526, 5829, 5830, 11977, 5836, 6862, 7887, 212, 5854, 5860, 12010, 5872, 11507, 5884, 7422, 9983, 256, 6912, 7424, 6915, 10494, 10498, 5382, 12551, 5384, 5896, 11019, 6926, 271, 11536, 14606, 6418, 12051, 4886, 4887, 12568, 4889, 7961, 6939, 10521, 10524, 12570, 11040, 7457, 12065, 7461, 8490, 14123, 7468, 10236, 2352, 305, 818, 10544, 10549, 825, 14141, 5951, 8006, 5963, 332, 8012, 10576, 339, 340, 12630, 8026, 12635, 9564, 10591, 9571, 12646, 9575, 10088, 7529, 9577, 11623, 14184, 5485, 7535, 8052, 14196, 7542, 10102, 10623, 4993, 5506, 8066, 9601, 2437, 5512, 12170, 12173, 10642, 4499, 13716, 4501, 10647, 5016, 12184, 8602, 10650, 11674, 4509, 12190, 1951, 12192, 12696, 6570, 7594, 11179, 13739, 8111, 11700, 11703, 5055, 8127, 11200, 451, 14276, 1989, 455, 8137, 8141, 2000, 5072, 8658, 2003, 5075, 2005, 5077, 5078, 2520, 10198, 12247, 13778, 12252, 5086, 2015, 2016, 8160, 482, 2018, 10207, 11742, 2025, 5100, 13805, 3566, 8174, 10223, 5105, 8690, 2035, 7668, 13296, 13299, 13300, 9722, 9212], '2': [0, 4610, 13826, 5641, 14349, 5646, 5649, 5650, 7703, 538, 539, 13344, 13868, 1075, 13371, 1600, 3648, 7755, 7756, 12370, 1111, 5228, 623, 624, 5233, 1175, 8344, 8346, 3228, 10399, 10407, 4266, 175, 3247, 13494, 699, 703, 709, 7367, 4296, 9931, 14545, 14551, 14554, 14555, 14559, 14560, 9958, 232, 745, 6380, 3822, 7930, 1276, 10494, 4354, 3843, 5891, 9483, 3857, 1305, 1310, 14638, 1842, 1844, 4405, 7990, 14144, 14657, 1355, 1367, 4951, 13670, 4465, 8049, 2935, 13689, 9598, 2943, 6032, 6033, 1427, 1429, 7071, 11680, 4003, 6053, 4007, 4009, 11694, 4027, 7108, 10692, 11739, 13276, 6633, 6634, 6635, 5612], '3': [1024, 12802, 9222, 1031, 5642, 3595, 5643, 4623, 5648, 4113, 13331, 9237, 13334, 4631, 1048, 4635, 10782, 2081, 3624, 5162, 3115, 9774, 11311, 10288, 2609, 10800, 10801, 10805, 3127, 9784, 10809, 9275, 3132, 2621, 3134, 13887, 3649, 4162, 4674, 4675, 10312, 3145, 7753, 9290, 1612, 3148, 3153, 82, 4689, 4692, 8277, 2135, 10858, 12395, 7276, 13931, 14446, 2159, 1648, 1652, 9338, 1152, 641, 3714, 10886, 8840, 138, 2699, 1165, 10894, 8337, 2708, 150, 663, 1174, 3226, 1183, 13472, 13477, 678, 682, 1709, 2734, 9904, 4289, 4293, 8398, 10454, 2782, 12008, 3310, 10992, 8434, 10994, 8948, 2809, 2810, 1794, 5894, 3847, 9484, 781, 2318, 11021, 14606, 3857, 791, 14615, 798, 1316, 807, 2859, 14639, 13112, 8505, 6458, 12091, 11257, 1346, 323, 836, 325, 3908, 9031, 852, 12630, 1367, 9048, 9049, 5978, 11096, 11614, 353, 865, 12648, 877, 2925, 8557, 9586, 1907, 2931, 9594, 2940, 1918, 2432, 3975, 10121, 4491, 5007, 913, 914, 4498, 5010, 5011, 918, 919, 5012, 5015, 2458, 5522, 5526, 5530, 3998, 5534, 8599, 2465, 5538, 11675, 8100, 934, 5542, 5546, 5550, 8110, 5554, 8116, 2485, 4534, 5046, 5558, 11189, 5562, 8122, 13245, 2494, 5566, 6591, 7102, 8128, 11715, 4036, 8134, 455, 9670, 11720, 9674, 5579, 8140, 9676, 10698, 8146, 2516, 8152, 2528, 4064, 8161, 9697, 5604, 9702, 1002, 1005, 1518, 12276, 9719, 3576, 9721, 511], '4': [12802, 1539, 6148, 5125, 9737, 12810, 12817, 1061, 1064, 11816, 561, 3122, 5182, 13421, 4723, 3206, 5781, 9880, 3237, 2224, 11447, 5309, 704, 3265, 3780, 3788, 1231, 1232, 10449, 5344, 1774, 6897, 7921, 6904, 5890, 11537, 3363, 2852, 2856, 9513, 1329, 313, 1856, 10562, 3401, 13134, 8022, 2402, 361, 1385, 4464, 2419, 8051, 2422, 889, 4474, 13703, 4490, 13710, 913, 5521, 5531, 926, 931, 12707, 3494, 1964, 12217, 8128, 4033, 12736, 14789, 13768, 6605, 13773, 10199, 2009, 8158, 488, 7656, 492, 12793, 12798], '5': [2309, 518, 1291, 1422, 4366, 2325, 1564, 4381, 4383, 2977, 4390, 2358, 3004, 4161, 3539, 4569, 990, 357, 1518, 3951, 3058, 1395]}
19998394-06;19998394-06;1999839406;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00200541-11;00200541-11;0020054111;;;;1050;;;1350;;;1230;;;780;;;210;;0;4620;0;{'1': [2048, 11776, 3975, 6407, 265, 6411, 11925, 7200, 11301, 8616, 7469, 5038, 2045, 2098, 9911, 2047, 4160, 9539, 4943, 4470, 6392, 6393, 8445, 2046, 8447], '2': [11393, 10884, 9623, 9624, 9629, 13853, 5535, 6305, 2983, 12845, 11950, 12725, 2244, 2245, 4932, 9542, 11850, 14283, 10195, 3415, 5080, 14303, 7008, 7010, 359, 12775, 7019, 5868, 12779, 7024, 9715, 14067, 7798, 6007], '3': [134, 6668, 1429, 4247, 279, 289, 7841, 675, 7842, 10403, 297, 2857, 4012, 301, 1839, 2738, 11314, 11315, 568, 4158, 2251, 469, 5722, 2779, 12638, 12140, 12529, 2045], '4': [7842, 8515, 8357, 8550, 8329, 5162, 10058, 11502, 2192, 3696, 13009, 13074, 14929, 5685, 3766, 10456, 10810, 11134], '5': [2184, 403, 1749, 405, 1303, 1878, 379]}
19999460-02;19999460-02;1999946002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20177233-05;20177233-05;2017723305;;;;630;;;610;;;240;;;330;;;90;;0;1900;0;{'1': [11015, 2318, 2582, 2203, 2597, 2471, 2856, 2096, 7866, 2624, 2376, 3145, 75, 14284, 9813, 13914, 8285, 14577, 3573, 10613, 14073], '2': [14220, 3611, 2208, 5281, 9760, 174, 9651, 1460, 7159, 10301, 1342, 6861, 3793, 3539, 6370, 1251, 7789, 240, 7415, 7419, 7165], '3': [10656, 11137, 13376, 488, 9708, 4717, 11733, 9533], '4': [13858, 1670, 10024, 8273, 8881, 11665, 5750, 12952, 6650, 3132, 11806], '5': [1208, 1198, 3047]}
20177233-04;20177233-04;2017723304;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20019918-02;20019918-02;2001991802;;;;112;;;112;;;;;;56;;;28;;0;308;0;{'1': [1763, 14645, 13310, 11447], '2': [8617, 8189, 2102, 39], '3': [], '4': [9851, 5331], '5': [3819]}
20088574-01;20088574-01;2008857401;;;;210;;;230;;;;;;570;;;;;0;1010;0;{'1': [3736, 3867, 9907], '2': [10689, 10506, 2612, 10805, 10807], '3': [], '4': [11776, 12003, 11876, 11717, 12007, 11880, 14698, 14699, 12461, 12014, 12592, 12534, 12441, 11834], '5': []}
20125116-03;20125116-03;2012511603;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20125116-01;20125116-01;2012511601;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20014730-06;20014730-06;2001473006;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20032093-13;20032093-13;2003209313;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20032093-06;20032093-06;2003209306;;;;;;;60;;;210;;;;;;;;0;270;0;{'1': [], '2': [12817, 12818], '3': [2232, 3523], '4': [], '5': []}
20096037-02;20096037-02;2009603702;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20096037-06;20096037-06;2009603706;;;;270;;;190;;;490;;;290;;;30;;0;1270;0;{'1': [2850, 4295, 4330, 7978, 3763, 2357, 11254], '2': [13057, 4967, 6536, 1467, 2747], '3': [13957, 3017, 298, 12138, 8986, 14385, 8213, 14552, 11673, 1594, 1595], '4': [10885, 13317, 5810, 11830, 12119, 796], '5': [3174]}
20044557-03;20044557-03;2004455703;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20032011-09;20032011-09;2003201109;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
