codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20043344-05;20043344-05;2004334405;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20043340-05;20043340-05;2004334005;;;;564;;;60;;;120;;;150;;;;;0;894;0;{'1': [8345, 27, 28, 29, 32, 1313, 1314, 1315, 1316, 1317, 4157, 4158, 959, 960, 961, 962, 963, 80, 3576, 11003], '2': [1016, 2949], '3': [984, 985, 6720, 6719], '4': [13797, 10695, 5115, 5116, 1694], '5': []}
20179173-01;20179173-01;2017917301;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20179173-02;20179173-02;2017917302;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20023511-03;20023511-03;2002351103;;;;2730;;;330;;;30;;;210;;;;;0;3300;0;{'1': [6667, 8717, 2601, 2602, 2603, 2604, 2605, 2606, 2607, 2608, 2609, 570, 571, 572, 573, 574, 575, 576, 577, 578, 71, 6763, 6764, 6765, 8817, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 9894, 9895, 9896, 9897, 9898, 9899, 12454, 12455, 12456, 12457, 12458, 12459, 5346, 5347, 5348, 5349, 5350, 5351, 5352, 5353, 5354, 4336, 4337, 4338, 4339, 14068, 8995, 8996, 14164, 14165, 14166, 1396, 1397, 1398, 6519, 1399, 1400, 1401, 6612, 14813, 14814, 14815, 14816, 11238, 11239, 11240, 11241, 7665, 7666, 7667, 7668, 7669, 7670, 7671, 7672, 7673, 7674, 7675], '2': [1633, 14411, 5869, 3342, 1713, 1362, 9235, 11896, 3289, 3003, 1468], '3': [6195], '4': [8134, 13676, 10221, 7574, 4380, 10590, 10591], '5': []}
19998394-04;19998394-04;1999839404;;;;7016;;;6636;;;7190;;;2430;;;112;;0;23384;0;{'1': [8192, 8193, 8194, 8195, 8196, 8197, 8198, 8199, 8202, 8203, 11274, 11277, 11286, 11287, 8755, 8756, 86, 87, 90, 98, 99, 6771, 6777, 6778, 6779, 6780, 6781, 6791, 6800, 4243, 13976, 10441, 10443, 10444, 10445, 10446, 10986, 10987, 3320, 3321, 3322, 3323, 4348, 3324, 3325, 3326, 4354, 4355, 3332, 4356, 6914, 4365, 4367, 4368, 4377, 4378, 4379, 4380, 9000, 9007, 9008, 9009, 9010, 5949, 5950, 5951, 5952, 5953, 5954, 5955, 5956, 5957, 9022, 9023, 5960, 5961, 9031, 847, 848, 849, 850, 851, 852, 858, 14181, 14182, 14191, 14192, 14193, 14199, 14200, 14201, 14202, 14203, 1410, 1422, 1423, 13201, 13202, 4499, 4500, 4501, 4502, 4503, 13203, 6553, 6554, 13204, 13205, 13206, 1438, 13207, 13208, 13209, 13210, 13211, 13212, 1445, 1446, 1447, 13224, 13225, 13226, 9133, 13213, 14269, 4078, 11257, 11258, 8189, 8190, 8191], '2': [10753, 4105, 11280, 10259, 2074, 3614, 3103, 14890, 1067, 4662, 12357, 9288, 13387, 1106, 7257, 4188, 1123, 3172, 4202, 4716, 5741, 4211, 14964, 7798, 3191, 9860, 9861, 9868, 8851, 14484, 2709, 1185, 9894, 10406, 7338, 698, 699, 11965, 2758, 14537, 7377, 11474, 14547, 2775, 5849, 4318, 8927, 225, 226, 227, 3299, 9443, 10469, 231, 232, 233, 234, 9449, 10473, 10986, 7412, 10492, 9472, 3841, 12033, 2819, 6934, 9499, 10011, 2846, 6946, 3363, 7459, 6440, 11055, 6960, 14130, 6964, 7478, 6457, 10041, 5437, 13636, 6470, 6986, 8523, 13131, 13133, 5464, 11609, 1886, 7009, 8548, 14180, 13671, 6003, 11138, 12162, 2948, 10123, 14220, 2457, 1434, 6044, 7071, 1952, 6050, 1967, 8114, 12214, 14264, 13754, 10685, 10696, 11489, 12758, 2520, 985, 986, 5594, 5595, 5597, 10202, 7139, 14309, 4582, 7146, 13300, 10231, 10235], '3': [3076, 5124, 1038, 9750, 1049, 539, 10784, 6692, 1061, 6693, 6694, 12337, 4151, 6200, 1085, 3134, 3647, 11330, 1604, 9796, 4166, 7244, 5197, 1105, 4179, 13399, 9817, 91, 11369, 2154, 1643, 4204, 5744, 8305, 3699, 3700, 634, 4220, 12924, 6785, 6789, 5767, 2697, 6285, 12433, 6298, 6303, 11424, 3236, 4782, 2737, 11953, 11954, 8372, 11955, 3771, 4795, 201, 4814, 13518, 13010, 4309, 10967, 216, 5337, 14559, 2795, 1260, 10480, 7921, 3316, 8949, 8950, 11511, 6908, 252, 7429, 1798, 2824, 10505, 13576, 10006, 10013, 14109, 2854, 2857, 12589, 4917, 5429, 14147, 14665, 12618, 5451, 12627, 354, 10602, 10609, 11639, 7547, 2940, 11647, 13184, 9090, 9091, 11140, 11657, 1938, 1430, 7574, 2970, 8610, 2979, 936, 937, 938, 9642, 13232, 6073, 1979, 8635, 4029, 8139, 3026, 14802, 14803, 14804, 14805, 14806, 14807, 3036, 12766, 9186, 11746, 8680, 3562, 8685, 7662, 3568, 7158, 5111, 7672, 11254, 8698], '4': [1668, 1669, 1670, 11910, 2195, 11288, 5919, 8236, 8237, 8238, 8239, 8240, 8241, 10668, 10669, 10670, 9269, 10671, 10672, 12721, 6593, 12354, 13762, 9156, 13763, 13764, 13765, 13766, 13767, 13768, 13769, 13388, 13770, 14286, 7120, 7377, 3414, 8408, 3033, 347, 5088, 5089, 5090, 5091, 5092, 7907, 9313, 9195, 12654, 14456], '5': [1330, 869]}
19998394-06;19998394-06;1999839406;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00200541-11;00200541-11;0020054111;;;;180;;;1050;;;60;;;210;;;30;;0;1530;0;{'1': [12800, 10125, 10126, 14994, 2908], '2': [7298, 7306, 5898, 8331, 8080, 8212, 8342, 8216, 13848, 8232, 7985, 8242, 8117, 7998, 8017, 6868, 6876, 12384, 8294, 7655, 7801, 8189], '3': [7481], '4': [8968, 586, 14929, 12826, 12827], '5': [974]}
19999460-02;19999460-02;1999946002;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20177233-05;20177233-05;2017723305;;;;333;;;960;;;1440;;;810;;;30;;0;3573;0;{'1': [12928, 14338, 11558, 11559, 11560, 5323, 6540, 10256, 10257, 5714, 3065, 3066], '2': [12805, 13705, 10257, 7958, 14745, 9628, 5916, 5917, 13732, 8357, 11943, 6955, 2110, 8007, 8393, 6219, 4685, 7246, 12279, 12499, 2523, 14302, 7904, 13280, 10467, 13801, 13296, 5873, 14323, 5367, 9976, 13561], '3': [1284, 4617, 13836, 11533, 5518, 10513, 12434, 538, 14235, 6812, 12707, 14371, 6822, 7974, 2859, 12843, 175, 2096, 10801, 3765, 5301, 5558, 3768, 10166, 2875, 14788, 12872, 13898, 14283, 12877, 8270, 2767, 6096, 14285, 1492, 2521, 2266, 13787, 12380, 14179, 14438, 2794, 5483, 7786, 10991, 5492, 4731, 9087], '4': [8705, 10637, 10638, 409, 11164, 8735, 13985, 5927, 4648, 12597, 12215, 1339, 7356, 5436, 13888, 10177, 13905, 2134, 4321, 122, 231, 9834, 4462, 5361, 2292, 1654, 9210], '5': [181]}
