codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
20043344-05;20043344-05;2004334405;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20043340-05;20043340-05;2004334005;;;;90;;;58;;;298;;;1378;;;962;;0;2786;0;{'1': [12713, 4166, 9983], '2': [4024, 13993], '3': [1066, 427, 1130, 1069, 1165, 1140, 1177, 1050, 1023, 922], '4': [9603, 8968, 13966, 8975, 11152, 13967, 12829, 10014, 13089, 10535, 12967, 14760, 10413, 10031, 10927, 10421, 13112, 4667, 4668, 4669, 13243, 13244, 9152, 10304, 12866, 7492, 4421, 4422, 10180, 13256, 14919, 9675, 9165, 10958, 12624, 12634, 13275, 13277, 13789, 9184, 9826, 10723, 12002, 13672, 10091, 13680, 13558, 9976], '5': [1156, 1416, 4241, 2706, 536, 794, 669, 286, 2718, 3871, 2339, 1573, 38, 2726, 556, 2737, 2614, 2623, 1985, 4290, 1353, 1099, 78, 2776, 1124, 2916, 3429, 2919, 2412, 2797, 2930, 2291, 2421]}
20179173-01;20179173-01;2017917301;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20179173-02;20179173-02;2017917302;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
20023511-03;20023511-03;2002351103;;;;660;;;3210;;;3330;;;3780;;;870;;0;11850;0;{'1': [8707, 11657, 14478, 9491, 8347, 8236, 5807, 3122, 14645, 13240, 5820, 3136, 7490, 12746, 8270, 9423, 12763, 11746, 11622, 14827, 11637, 14716], '2': [1026, 10755, 1545, 9228, 7185, 13844, 9238, 13852, 6685, 13854, 13855, 11296, 6184, 11306, 2100, 7732, 7738, 6204, 1601, 1605, 10315, 12364, 12877, 14925, 10334, 10347, 7278, 12409, 10363, 6268, 6782, 6271, 14472, 8841, 14480, 10429, 11453, 2244, 10955, 10956, 10957, 12493, 14030, 14032, 11473, 3798, 10454, 3800, 14040, 14043, 7904, 4834, 4835, 12033, 7938, 12044, 12558, 8468, 7958, 4888, 14625, 14626, 14627, 10535, 12587, 3385, 830, 10562, 839, 6998, 12119, 858, 13662, 864, 14181, 14207, 2433, 3458, 8579, 11141, 12680, 4491, 3469, 3470, 9104, 12696, 12705, 3498, 3499, 3500, 8619, 12721, 6586, 7115, 12747, 7131, 6622, 12255, 12256, 6117, 4585, 1516, 8689, 12786, 7161, 12285, 12286], '3': [8705, 11781, 14855, 7694, 8721, 20, 21, 22, 14369, 5156, 10791, 14896, 14906, 59, 60, 14917, 14919, 8777, 9803, 14414, 4176, 14930, 87, 88, 9815, 10328, 14938, 1632, 10848, 11878, 10859, 9837, 4728, 642, 4234, 4235, 658, 672, 7331, 7336, 683, 6315, 6319, 1712, 6321, 9395, 7352, 188, 5827, 5828, 9419, 5836, 3278, 3279, 1746, 13534, 9453, 751, 9462, 3319, 3320, 7932, 12546, 11524, 11525, 11526, 12556, 6416, 6431, 800, 806, 7975, 10535, 9012, 10549, 1849, 12601, 9534, 13640, 1865, 8521, 11594, 3404, 4941, 848, 10066, 9557, 9048, 2395, 865, 2409, 3441, 3965, 1422, 11662, 10130, 10163, 9140, 9151, 14785, 12744, 13768, 12755, 10200, 4579, 13796, 9705, 14829, 4081, 14834, 1011, 10748, 3581], '4': [9216, 2, 3, 2575, 11280, 8212, 14872, 31, 545, 546, 1060, 1064, 43, 1072, 9776, 9778, 1076, 9780, 1083, 572, 2109, 9789, 9791, 14924, 12369, 13906, 4692, 13910, 6232, 1114, 4710, 615, 13926, 116, 4212, 2679, 14967, 10364, 4733, 11901, 4231, 652, 653, 11921, 658, 664, 1688, 1188, 165, 2215, 6312, 11949, 176, 1204, 693, 694, 695, 12472, 2238, 2239, 11967, 8901, 12485, 9935, 9936, 727, 728, 729, 235, 12011, 14576, 12535, 4344, 6396, 14079, 5889, 4355, 2311, 2313, 2829, 4372, 12055, 10015, 2848, 2868, 10040, 14653, 10047, 2368, 10051, 11077, 11087, 14168, 5466, 5475, 5477, 11109, 11110, 876, 4461, 7534, 6515, 10102, 3456, 899, 7055, 3984, 7568, 7569, 7570, 8086, 3993, 7072, 1456, 7100, 4029, 1993, 975, 4054, 4576, 13800, 13801, 491, 493, 4082, 5629], '5': [128, 2949, 1161, 1183, 3879, 431, 2998, 824, 3645, 705, 3009, 451, 2373, 2249, 3020, 853, 3031, 4055, 4056, 4057, 4058, 3037, 2399, 4447, 1258, 2670, 2287, 2934, 2173]}
19998394-04;19998394-04;1999839404;;;;4414;;;4835;;;2828;;;2356;;;280;;0;14713;0;{'1': [12811, 4620, 7692, 4110, 7694, 7695, 4629, 4119, 2076, 7712, 547, 14375, 14384, 54, 11838, 12863, 579, 8798, 4193, 8299, 3694, 5744, 8837, 2720, 9378, 5288, 9388, 2733, 2224, 6834, 8889, 5826, 6857, 7883, 10961, 11986, 7386, 3803, 10979, 4329, 763, 7424, 9987, 6917, 7429, 6407, 6919, 7436, 5905, 1818, 802, 6957, 3379, 9011, 7484, 6464, 11585, 2882, 14659, 11076, 9541, 1877, 12634, 4964, 6003, 11123, 13704, 5514, 2964, 5544, 6063, 11186, 14779, 13249, 7619, 2502, 2503, 9166, 5583, 7638, 10204, 11741, 4579, 486, 3562, 14315, 14323, 8693], '2': [13330, 5656, 13336, 1051, 5660, 5671, 14887, 10298, 6723, 7240, 7252, 2134, 1114, 1115, 8290, 6755, 2665, 7273, 2157, 112, 10358, 11896, 3194, 658, 9366, 5279, 5280, 1697, 7343, 1719, 6847, 192, 8388, 9414, 2762, 10447, 7381, 1241, 11482, 10462, 9442, 6378, 1778, 2291, 4340, 9462, 4855, 1273, 4859, 7932, 12036, 2323, 6438, 9512, 4913, 9521, 7993, 12099, 5958, 4935, 8017, 13139, 11093, 9558, 1881, 7006, 14183, 14186, 3441, 10101, 12172, 1431, 1437, 6046, 3491, 5033, 6571, 5550, 5554, 8626, 950, 1978, 5055, 5061, 10188, 13264, 8153, 8160, 3042, 14321, 9203, 13308], '3': [10112, 14081, 7301, 11909, 12421, 2953, 3212, 10257, 1170, 1298, 14996, 14233, 4379, 13567, 11172, 9509, 3754, 11948, 10032, 13367, 9658, 11584, 3266, 11970, 457, 8266, 11211, 14157, 11600, 5969, 2643, 4307, 853, 13395, 14807, 13400, 2266, 11483, 2012, 1245, 7516, 7774, 11738, 14556, 7524, 9957, 11876, 1255, 4458, 1132, 10093, 13806, 2034, 6259, 13811, 14578, 3062, 11767, 11770, 636, 1277, 10879], '4': [6405, 4742, 9477, 8200, 272, 2960, 11154, 3093, 534, 9493, 7576, 2588, 11172, 1704, 12968, 2602, 5677, 8878, 11057, 2100, 14644, 5302, 1977, 2619, 5438, 12227, 715, 973, 2384, 8657, 13392, 14290, 6740, 981, 4822, 6999, 11096, 9565, 481, 4836, 9063, 13939, 8183, 9592, 4218, 2428, 8317], '5': [1612, 4333, 3768, 945, 2008, 2203, 4060]}
19998394-06;19998394-06;1999839406;;;;;;;;;;;;;;;;;;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
00200541-11;00200541-11;0020054111;;;;420;;;600;;;240;;;210;;;60;;0;1530;0;{'1': [12360, 12681, 14476, 13262, 6236, 4849, 12120, 12595, 4054, 12088, 12666, 4060], '2': [2273, 738, 1157, 2729, 9707, 3052, 305, 14545, 14546, 4948, 12660, 14455, 11129, 14846], '3': [11431, 13843, 12501, 310, 14044, 2942, 2943], '4': [10437, 5809, 14674, 1042, 254], '5': [3396]}
19999460-02;19999460-02;1999946002;;;;30;;;;;;;;;;;;;;0;30;0;{'1': [4296], '2': [], '3': [], '4': [], '5': []}
20177233-05;20177233-05;2017723305;;;;750;;;690;;;780;;;945;;;240;;0;3405;0;{'1': [7937, 9220, 12945, 1554, 13483, 1711, 1840, 10675, 12341, 9790, 8255, 2625, 4300, 5842, 14290, 1366, 14297, 14306, 6758, 9450, 625, 6774, 9850, 9853, 9471], '2': [128, 8193, 7042, 4100, 1202, 6588, 13131, 8012, 722, 12122, 13148, 5469, 2910, 14558, 10208, 4964, 12136, 498, 4594, 7155, 4725, 5493, 12924], '3': [8577, 5379, 14357, 7319, 8742, 14376, 12844, 10033, 14899, 9396, 14900, 14901, 13500, 9795, 14407, 11337, 9303, 12511, 4320, 14179, 13412, 4855, 9963, 8301, 13943, 3453], '4': [14983, 11144, 14089, 14476, 12432, 8723, 14358, 14491, 9889, 12455, 13485, 7729, 5947, 6078, 6476, 13263, 1747, 13013, 8283, 6500, 4070, 6120, 8936, 12780, 13040, 8306, 10868, 8693, 13559, 6775, 3963, 11519], '5': [2690, 419, 4194, 1957, 2821, 1383, 1930, 2128]}
