codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;total_entregado_total;total_entregado_parcial;total_pendiente;Total;matched_rows_per_source
20125666;20125666;20125666;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20151082;20151082;20151082;;;90;1200;;;;;90;1200;0;1290;{'1': [7937, 5573, 4230, 4301, 9166, 10894, 176, 177, 5649, 6000, 9104, 12789, 2518, 6430], '2': []}
20151082;20151082;20151082;;;90;1200;;;;;90;1200;0;1290;{'1': [7937, 5573, 4230, 4301, 9166, 10894, 176, 177, 5649, 6000, 9104, 12789, 2518, 6430], '2': []}
20099791;20099791;20099791;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20125666;20125666;20125666;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20125666;20125666;20125666;;;;;;;;;0;0;0;0;{'1': [], '2': []}
20175802;20175802;20175802;;;;540;;;90;;0;630;0;630;{'1': [4522, 6026, 9135, 9044, 1209], '2': [3418]}
20175802;20175802;20175802;;;;540;;;90;;0;630;0;630;{'1': [4522, 6026, 9135, 9044, 1209], '2': [3418]}
20125491;20125491;20125491;;;1920;29640;;300;1680;;2220;31320;0;33540;{'1': [6185, 6187, 6191, 8243, 8244, 12342, 8249, 6203, 8263, 6216, 8268, 4174, 6225, 8274, 4181, 12373, 6232, 6251, 8301, 8304, 6258, 12404, 4213, 8318, 4228, 12423, 4237, 4238, 12434, 2208, 4259, 8361, 4276, 4283, 8379, 6340, 8389, 6343, 4297, 6357, 6359, 6362, 6365, 234, 2284, 252, 4351, 8457, 266, 12560, 4414, 6480, 342, 4440, 4449, 12642, 361, 4463, 6524, 6528, 6530, 6533, 12681, 4530, 10681, 4542, 10702, 462, 4586, 4593, 10741, 4613, 4619, 10778, 14874, 10780, 546, 4647, 6712, 4669, 4670, 10833, 14937, 6746, 14953, 2672, 6768, 8820, 6779, 6784, 10883, 2692, 10905, 10909, 4769, 6817, 8876, 2739, 6847, 10947, 10950, 6857, 4810, 6858, 8909, 4814, 6863, 722, 4822, 6873, 10977, 10979, 6895, 6898, 8947, 6908, 8961, 6914, 6922, 6927, 6930, 6931, 6940, 8990, 9000, 2857, 2858, 6981, 6983, 9033, 6989, 2896, 9042, 11090, 2908, 9059, 9064, 9068, 9073, 9074, 7029, 7032, 9080, 2938, 2939, 9081, 7040, 7045, 7046, 7059, 2972, 7081, 9132, 7091, 2996, 7092, 7100, 7105, 9154, 9167, 5073, 978, 5074, 3037, 9182, 5090, 7142, 3050, 7151, 5106, 9205, 7164, 1030, 7176, 5131, 7180, 9230, 7191, 3099, 5154, 1061, 5169, 5178, 9274, 11338, 1111, 5234, 9342, 5256, 9365, 11418, 13466, 5325, 13519, 5346, 5361, 5372, 5381, 5382, 5394, 1306, 9509, 5417, 5436, 9535, 9536, 1346, 1350, 5452, 7502, 1362, 9556, 1370, 1375, 9573, 5478, 1383, 7541, 7547, 13691, 5503, 5507, 1413, 13714, 5526, 3480, 1435, 9629, 9631, 1452, 3501, 9646, 3504, 9649, 1460, 3510, 5563, 9660, 5567, 3520, 5572, 3525, 3526, 5580, 3536, 5586, 1491, 7638, 1495, 1499, 1501, 3550, 1506, 13796, 3557, 9702, 3560, 7657, 3562, 5612, 13807, 7667, 9725, 1538, 7686, 9743, 3616, 3622, 3628, 5677, 7758, 9826, 5734, 9832, 7796, 9852, 5773, 7826, 7839, 1696, 7847, 7854, 3763, 3766, 14007, 14022, 7885, 14031, 7914, 9965, 7933, 9983, 9987, 7941, 9993, 10000, 10001, 1813, 7964, 5929, 10034, 7990, 5955, 1860, 10062, 5969, 5976, 10078, 10097, 6006, 6021, 10119, 8072, 10129, 10149, 10161, 6068, 6083, 12230, 12232, 2007, 12252, 12260, 6117], '2': [1154, 2179, 2311, 1418, 271, 1039, 25, 1314, 1187, 1581, 2610, 6326, 1604, 2508, 79, 2267, 1501, 2665, 2538, 6127, 120, 123, 4863]}
20125491;20125491;20125491;;;1920;29640;;300;1680;;2220;31320;0;33540;{'1': [6185, 6187, 6191, 8243, 8244, 12342, 8249, 6203, 8263, 6216, 8268, 4174, 6225, 8274, 4181, 12373, 6232, 6251, 8301, 8304, 6258, 12404, 4213, 8318, 4228, 12423, 4237, 4238, 12434, 2208, 4259, 8361, 4276, 4283, 8379, 6340, 8389, 6343, 4297, 6357, 6359, 6362, 6365, 234, 2284, 252, 4351, 8457, 266, 12560, 4414, 6480, 342, 4440, 4449, 12642, 361, 4463, 6524, 6528, 6530, 6533, 12681, 4530, 10681, 4542, 10702, 462, 4586, 4593, 10741, 4613, 4619, 10778, 14874, 10780, 546, 4647, 6712, 4669, 4670, 10833, 14937, 6746, 14953, 2672, 6768, 8820, 6779, 6784, 10883, 2692, 10905, 10909, 4769, 6817, 8876, 2739, 6847, 10947, 10950, 6857, 4810, 6858, 8909, 4814, 6863, 722, 4822, 6873, 10977, 10979, 6895, 6898, 8947, 6908, 8961, 6914, 6922, 6927, 6930, 6931, 6940, 8990, 9000, 2857, 2858, 6981, 6983, 9033, 6989, 2896, 9042, 11090, 2908, 9059, 9064, 9068, 9073, 9074, 7029, 7032, 9080, 2938, 2939, 9081, 7040, 7045, 7046, 7059, 2972, 7081, 9132, 7091, 2996, 7092, 7100, 7105, 9154, 9167, 5073, 978, 5074, 3037, 9182, 5090, 7142, 3050, 7151, 5106, 9205, 7164, 1030, 7176, 5131, 7180, 9230, 7191, 3099, 5154, 1061, 5169, 5178, 9274, 11338, 1111, 5234, 9342, 5256, 9365, 11418, 13466, 5325, 13519, 5346, 5361, 5372, 5381, 5382, 5394, 1306, 9509, 5417, 5436, 9535, 9536, 1346, 1350, 5452, 7502, 1362, 9556, 1370, 1375, 9573, 5478, 1383, 7541, 7547, 13691, 5503, 5507, 1413, 13714, 5526, 3480, 1435, 9629, 9631, 1452, 3501, 9646, 3504, 9649, 1460, 3510, 5563, 9660, 5567, 3520, 5572, 3525, 3526, 5580, 3536, 5586, 1491, 7638, 1495, 1499, 1501, 3550, 1506, 13796, 3557, 9702, 3560, 7657, 3562, 5612, 13807, 7667, 9725, 1538, 7686, 9743, 3616, 3622, 3628, 5677, 7758, 9826, 5734, 9832, 7796, 9852, 5773, 7826, 7839, 1696, 7847, 7854, 3763, 3766, 14007, 14022, 7885, 14031, 7914, 9965, 7933, 9983, 9987, 7941, 9993, 10000, 10001, 1813, 7964, 5929, 10034, 7990, 5955, 1860, 10062, 5969, 5976, 10078, 10097, 6006, 6021, 10119, 8072, 10129, 10149, 10161, 6068, 6083, 12230, 12232, 2007, 12252, 12260, 6117], '2': [1154, 2179, 2311, 1418, 271, 1039, 25, 1314, 1187, 1581, 2610, 6326, 1604, 2508, 79, 2267, 1501, 2665, 2538, 6127, 120, 123, 4863]}
