codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
20125491;20125491;20125491;;;39570;4470;;39570;4470;0;44040;{'1': [6144, 1, 2, 3, 6145, 6148, 6, 6151, 8, 9, 6153, 15, 20, 21, 6168, 30, 6174, 33, 38, 43, 44, 45, 46, 48, 49, 51, 55, 56, 60, 63, 64, 67, 69, 70, 72, 78, 80, 81, 82, 84, 85, 87, 88, 89, 92, 93, 94, 95, 96, 98, 99, 100, 101, 102, 103, 104, 106, 107, 108, 109, 110, 112, 113, 115, 116, 118, 119, 121, 123, 127, 128, 130, 131, 132, 133, 135, 136, 137, 139, 140, 142, 145, 146, 147, 149, 152, 156, 157, 158, 159, 165, 167, 171, 172, 173, 176, 181, 183, 184, 186, 188, 192, 193, 196, 198, 205, 213, 214, 222, 223, 226, 227, 228, 229, 231, 232, 233, 235, 239, 240, 243, 248, 251, 256, 257, 259, 263, 264, 265, 266, 272, 275, 277, 278, 281, 282, 283, 287, 288, 293, 296, 299, 303, 306, 310, 313, 320, 322, 324, 327, 328, 329, 331, 333, 336, 338, 339, 341, 342, 343, 344, 345, 346, 347, 350, 351, 352, 353, 355, 357, 360, 361, 362, 364, 365, 366, 367, 368, 370, 371, 373, 4470, 375, 376, 377, 378, 379, 381, 382, 386, 389, 390, 395, 396, 397, 398, 399, 400, 402, 404, 406, 408, 409, 411, 412, 413, 414, 415, 416, 417, 420, 421, 423, 424, 425, 428, 429, 430, 431, 4527, 440, 442, 444, 445, 447, 448, 453, 454, 456, 457, 465, 468, 470, 474, 476, 477, 478, 479, 4572, 481, 482, 483, 484, 486, 487, 488, 489, 491, 492, 493, 494, 495, 498, 499, 502, 503, 507, 508, 509, 511, 514, 519, 521, 523, 524, 525, 527, 531, 535, 538, 542, 546, 4644, 4645, 557, 558, 559, 561, 563, 565, 566, 567, 569, 572, 573, 574, 575, 582, 584, 588, 589, 590, 591, 592, 595, 597, 598, 600, 4699, 4704, 612, 4708, 4709, 616, 617, 4713, 4801, 4842, 4887, 5007, 5079, 5086, 5087, 5088, 5151, 5161, 5162, 5167, 5189, 5266, 5274, 5277, 5278, 5384, 3457, 3462, 3464, 3481, 3484, 3487, 5543, 3499, 3501, 3503, 3504, 3506, 3508, 3509, 3511, 3512, 3513, 3514, 3516, 3517, 3519, 3520, 3522, 3526, 3527, 3528, 3529, 3530, 3531, 3532, 3542, 1495, 1496, 3543, 3544, 3545, 3550, 3552, 3553, 3562, 3563, 3565, 3567, 3569, 3570, 3579, 3581, 3584, 5632, 3587, 3588, 3590, 3593, 3595, 3596, 3597, 3600, 3604, 3606, 3609, 3610, 3613, 3615, 3616, 3618, 3620, 3621, 3624, 3625, 3627, 3629, 3633, 3635, 3636, 3638, 3639, 3647, 3648, 3651, 5751, 5752, 5777, 5778, 5781, 5782, 5785, 5792, 5796, 5799, 5807, 5817, 5819, 5823, 5848, 5861, 5864, 5867, 5869, 5872, 5903, 5923, 5931, 5951, 5968, 5986, 6009, 6013, 6067, 6070, 6086, 6089, 6103, 6117, 6118, 6120, 6136, 6137, 6139, 6140, 6141, 6142, 6143]}
20125491;20125491;20125491;;;39570;4470;;39570;4470;0;44040;{'1': [6144, 1, 2, 3, 6145, 6148, 6, 6151, 8, 9, 6153, 15, 20, 21, 6168, 30, 6174, 33, 38, 43, 44, 45, 46, 48, 49, 51, 55, 56, 60, 63, 64, 67, 69, 70, 72, 78, 80, 81, 82, 84, 85, 87, 88, 89, 92, 93, 94, 95, 96, 98, 99, 100, 101, 102, 103, 104, 106, 107, 108, 109, 110, 112, 113, 115, 116, 118, 119, 121, 123, 127, 128, 130, 131, 132, 133, 135, 136, 137, 139, 140, 142, 145, 146, 147, 149, 152, 156, 157, 158, 159, 165, 167, 171, 172, 173, 176, 181, 183, 184, 186, 188, 192, 193, 196, 198, 205, 213, 214, 222, 223, 226, 227, 228, 229, 231, 232, 233, 235, 239, 240, 243, 248, 251, 256, 257, 259, 263, 264, 265, 266, 272, 275, 277, 278, 281, 282, 283, 287, 288, 293, 296, 299, 303, 306, 310, 313, 320, 322, 324, 327, 328, 329, 331, 333, 336, 338, 339, 341, 342, 343, 344, 345, 346, 347, 350, 351, 352, 353, 355, 357, 360, 361, 362, 364, 365, 366, 367, 368, 370, 371, 373, 4470, 375, 376, 377, 378, 379, 381, 382, 386, 389, 390, 395, 396, 397, 398, 399, 400, 402, 404, 406, 408, 409, 411, 412, 413, 414, 415, 416, 417, 420, 421, 423, 424, 425, 428, 429, 430, 431, 4527, 440, 442, 444, 445, 447, 448, 453, 454, 456, 457, 465, 468, 470, 474, 476, 477, 478, 479, 4572, 481, 482, 483, 484, 486, 487, 488, 489, 491, 492, 493, 494, 495, 498, 499, 502, 503, 507, 508, 509, 511, 514, 519, 521, 523, 524, 525, 527, 531, 535, 538, 542, 546, 4644, 4645, 557, 558, 559, 561, 563, 565, 566, 567, 569, 572, 573, 574, 575, 582, 584, 588, 589, 590, 591, 592, 595, 597, 598, 600, 4699, 4704, 612, 4708, 4709, 616, 617, 4713, 4801, 4842, 4887, 5007, 5079, 5086, 5087, 5088, 5151, 5161, 5162, 5167, 5189, 5266, 5274, 5277, 5278, 5384, 3457, 3462, 3464, 3481, 3484, 3487, 5543, 3499, 3501, 3503, 3504, 3506, 3508, 3509, 3511, 3512, 3513, 3514, 3516, 3517, 3519, 3520, 3522, 3526, 3527, 3528, 3529, 3530, 3531, 3532, 3542, 1495, 1496, 3543, 3544, 3545, 3550, 3552, 3553, 3562, 3563, 3565, 3567, 3569, 3570, 3579, 3581, 3584, 5632, 3587, 3588, 3590, 3593, 3595, 3596, 3597, 3600, 3604, 3606, 3609, 3610, 3613, 3615, 3616, 3618, 3620, 3621, 3624, 3625, 3627, 3629, 3633, 3635, 3636, 3638, 3639, 3647, 3648, 3651, 5751, 5752, 5777, 5778, 5781, 5782, 5785, 5792, 5796, 5799, 5807, 5817, 5819, 5823, 5848, 5861, 5864, 5867, 5869, 5872, 5903, 5923, 5931, 5951, 5968, 5986, 6009, 6013, 6067, 6070, 6086, 6089, 6103, 6117, 6118, 6120, 6136, 6137, 6139, 6140, 6141, 6142, 6143]}
1981349;1981349;1981349;;;;;;0;0;0;0;{'1': []}
20066224;20066224;20066224;;;;;;0;0;0;0;{'1': []}
20091441;20091441;20091441;;;34;;;34;0;0;34;{'1': [3973, 5772, 3858, 4116, 4377, 4006, 5292, 4270, 3887, 4273, 4148, 4279, 1212, 5183, 3904, 1858, 3909, 2137, 2781, 2269, 4575, 3812, 5348, 4200, 4712, 6122, 1003, 2034, 5619, 3829, 4213, 5878, 2301, 4735]}
2015244;2015244;2015244;;;;;;0;0;0;0;{'1': []}
20091953;20091953;20091953;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
