codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;TOTAL;matched_rows_per_source
20125491;20125491;20125491;;;55410;;;55410;0;0;55410;{'1': [0, 2051, 2053, 4109, 2064, 4113, 4114, 4115, 4120, 26, 55, 61, 65, 66, 77, 2146, 104, 115, 145, 163, 2216, 2232, 2233, 2235, 201, 2249, 210, 211, 212, 215, 219, 233, 2314, 2320, 293, 295, 327, 329, 333, 2383, 337, 338, 2385, 2387, 2388, 343, 344, 2391, 349, 2399, 362, 367, 397, 400, 401, 402, 403, 404, 406, 407, 408, 409, 410, 415, 419, 420, 421, 423, 424, 425, 426, 427, 428, 2477, 429, 431, 2480, 2501, 2507, 2509, 470, 475, 2523, 2543, 2545, 561, 637, 641, 2689, 645, 646, 647, 648, 649, 650, 2700, 653, 654, 655, 2701, 657, 658, 659, 660, 661, 662, 663, 2710, 665, 666, 667, 668, 669, 670, 671, 2723, 2725, 2727, 2733, 2739, 704, 705, 706, 707, 727, 734, 2806, 2829, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 801, 803, 804, 805, 806, 807, 808, 809, 826, 854, 856, 2912, 2915, 2916, 2922, 2927, 2938, 2940, 2941, 2945, 2947, 2953, 2958, 2964, 2966, 2967, 2974, 927, 2976, 928, 2975, 2983, 938, 939, 2988, 940, 942, 2992, 944, 945, 946, 947, 949, 951, 952, 953, 3001, 3003, 3005, 961, 969, 974, 975, 988, 992, 1019, 1027, 1045, 1085, 1087, 1089, 1091, 1093, 1094, 1095, 1096, 1097, 1098, 1099, 1100, 1104, 3184, 1146, 3194, 3197, 3200, 3203, 3208, 3210, 3211, 3216, 3218, 1172, 3222, 3224, 1178, 3227, 3229, 1182, 1183, 3239, 3252, 3254, 3259, 3298, 1280, 1281, 1282, 1283, 1285, 1287, 1288, 1289, 1290, 1292, 1293, 1294, 1295, 1296, 1297, 1300, 1311, 1316, 3410, 3411, 3412, 3419, 1379, 1380, 1381, 1384, 1385, 1386, 1387, 3438, 3440, 3442, 3443, 3448, 3454, 3462, 1428, 1448, 1465, 3520, 3563, 1517, 1518, 1520, 3576, 1536, 3584, 3587, 3604, 3616, 3621, 1575, 3632, 3633, 3634, 3635, 3637, 3641, 3644, 1603, 3652, 1606, 3655, 1613, 3661, 1618, 1627, 3677, 3680, 1642, 1643, 1648, 3699, 3703, 1658, 1661, 3714, 1667, 3716, 1677, 1699, 1700, 1719, 3776, 1734, 1735, 3785, 3794, 3805, 3807, 3808, 1762, 3818, 1776, 3837, 1791, 3839, 3842, 3859, 3865, 3872, 3873, 1826, 1830, 3882, 3887, 3893, 3894, 1853, 1854, 1872, 3938, 3953, 3954, 3958, 3963, 3965, 3966, 3967, 3969, 3978, 3985, 3986, 3991, 3994, 3998, 4009, 4012, 1965, 4015, 1970, 4027, 4036, 4045, 4047, 4051, 4052, 4056, 4063, 4065, 2021, 2023, 2029, 2034, 2036, 2037]}
20125491;20125491;20125491;;;55410;;;55410;0;0;55410;{'1': [0, 2051, 2053, 4109, 2064, 4113, 4114, 4115, 4120, 26, 55, 61, 65, 66, 77, 2146, 104, 115, 145, 163, 2216, 2232, 2233, 2235, 201, 2249, 210, 211, 212, 215, 219, 233, 2314, 2320, 293, 295, 327, 329, 333, 2383, 337, 338, 2385, 2387, 2388, 343, 344, 2391, 349, 2399, 362, 367, 397, 400, 401, 402, 403, 404, 406, 407, 408, 409, 410, 415, 419, 420, 421, 423, 424, 425, 426, 427, 428, 2477, 429, 431, 2480, 2501, 2507, 2509, 470, 475, 2523, 2543, 2545, 561, 637, 641, 2689, 645, 646, 647, 648, 649, 650, 2700, 653, 654, 655, 2701, 657, 658, 659, 660, 661, 662, 663, 2710, 665, 666, 667, 668, 669, 670, 671, 2723, 2725, 2727, 2733, 2739, 704, 705, 706, 707, 727, 734, 2806, 2829, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797, 798, 799, 801, 803, 804, 805, 806, 807, 808, 809, 826, 854, 856, 2912, 2915, 2916, 2922, 2927, 2938, 2940, 2941, 2945, 2947, 2953, 2958, 2964, 2966, 2967, 2974, 927, 2976, 928, 2975, 2983, 938, 939, 2988, 940, 942, 2992, 944, 945, 946, 947, 949, 951, 952, 953, 3001, 3003, 3005, 961, 969, 974, 975, 988, 992, 1019, 1027, 1045, 1085, 1087, 1089, 1091, 1093, 1094, 1095, 1096, 1097, 1098, 1099, 1100, 1104, 3184, 1146, 3194, 3197, 3200, 3203, 3208, 3210, 3211, 3216, 3218, 1172, 3222, 3224, 1178, 3227, 3229, 1182, 1183, 3239, 3252, 3254, 3259, 3298, 1280, 1281, 1282, 1283, 1285, 1287, 1288, 1289, 1290, 1292, 1293, 1294, 1295, 1296, 1297, 1300, 1311, 1316, 3410, 3411, 3412, 3419, 1379, 1380, 1381, 1384, 1385, 1386, 1387, 3438, 3440, 3442, 3443, 3448, 3454, 3462, 1428, 1448, 1465, 3520, 3563, 1517, 1518, 1520, 3576, 1536, 3584, 3587, 3604, 3616, 3621, 1575, 3632, 3633, 3634, 3635, 3637, 3641, 3644, 1603, 3652, 1606, 3655, 1613, 3661, 1618, 1627, 3677, 3680, 1642, 1643, 1648, 3699, 3703, 1658, 1661, 3714, 1667, 3716, 1677, 1699, 1700, 1719, 3776, 1734, 1735, 3785, 3794, 3805, 3807, 3808, 1762, 3818, 1776, 3837, 1791, 3839, 3842, 3859, 3865, 3872, 3873, 1826, 1830, 3882, 3887, 3893, 3894, 1853, 1854, 1872, 3938, 3953, 3954, 3958, 3963, 3965, 3966, 3967, 3969, 3978, 3985, 3986, 3991, 3994, 3998, 4009, 4012, 1965, 4015, 1970, 4027, 4036, 4045, 4047, 4051, 4052, 4056, 4063, 4065, 2021, 2023, 2029, 2034, 2036, 2037]}
1981349;1981349;1981349;;;;;;0;0;0;0;{'1': []}
20066224;20066224;20066224;;;;;;0;0;0;0;{'1': []}
20091441;20091441;20091441;;;23;;;23;0;0;23;{'1': [2048, 4, 3467, 1420, 909, 1169, 1953, 3107, 1842, 1843, 2485, 1080, 570, 2518, 984, 3547, 481, 874, 2796, 752, 3060, 3062, 3063]}
2015244;2015244;2015244;;;;;;0;0;0;0;{'1': []}
20091953;20091953;20091953;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
20175802;20175802;20175802;;;;;;0;0;0;0;{'1': []}
