codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;total;matched_rows_per_source
20175802;20175802;20175802;;;840;;;840;0;0;840;{'1': [1952, 4706, 3491, 4131, 166, 1814, 1306, 4094]}
20125491;20125491;20125491;;;64080;;;64080;0;0;64080;{'1': [2054, 2057, 4107, 2071, 4120, 4123, 2076, 2079, 2080, 2081, 2082, 2088, 4136, 2092, 2094, 2101, 54, 4156, 2113, 2115, 2116, 4165, 2119, 2129, 2132, 2136, 2138, 2147, 4200, 2158, 2168, 2181, 2184, 2196, 2203, 2204, 2207, 2210, 4295, 2277, 2291, 2295, 2296, 2318, 282, 4378, 4384, 2346, 2347, 2349, 4399, 2352, 4421, 4422, 2375, 2376, 4423, 2384, 4432, 2387, 2392, 2394, 4444, 2407, 2415, 2420, 2431, 2434, 389, 2440, 2470, 2495, 2515, 4570, 4573, 4575, 2529, 2548, 4597, 2555, 507, 2563, 4619, 2577, 4625, 2579, 4628, 2585, 538, 4635, 2589, 551, 2634, 4697, 2672, 4744, 4760, 671, 684, 2733, 686, 4789, 694, 2743, 2745, 701, 705, 707, 2761, 714, 2764, 2766, 726, 4833, 745, 777, 780, 781, 783, 4880, 4886, 793, 799, 2854, 825, 833, 837, 4939, 4944, 852, 2908, 2914, 4964, 4967, 876, 878, 879, 4974, 4976, 882, 4979, 885, 4981, 4987, 894, 2943, 4999, 907, 5004, 912, 5009, 5010, 917, 918, 5014, 920, 2969, 926, 5023, 2986, 939, 5035, 5039, 5042, 5048, 957, 5053, 5061, 3015, 5066, 5067, 5077, 983, 5083, 5084, 5085, 990, 991, 5087, 5088, 5090, 995, 5094, 3048, 5099, 5105, 1015, 1018, 5114, 1020, 5115, 5122, 1029, 3078, 5133, 1039, 1046, 1052, 1054, 1061, 1063, 1065, 1066, 1067, 1070, 1071, 1073, 1075, 5180, 1088, 5185, 1091, 1092, 5190, 1095, 5197, 5198, 1104, 5201, 1106, 5202, 5203, 3157, 1110, 5204, 1112, 3160, 5206, 5208, 5210, 1117, 3166, 5212, 5213, 1121, 5214, 3171, 5217, 5220, 5222, 1128, 3176, 1130, 5225, 1132, 1133, 5226, 5227, 5228, 1137, 3186, 5229, 1140, 5232, 1142, 1143, 5233, 5234, 5235, 5247, 1152, 1153, 5251, 5252, 3205, 1162, 1163, 1164, 5259, 1166, 5260, 5264, 1170, 5266, 1174, 5271, 1176, 5273, 5276, 3229, 5277, 1185, 5281, 1189, 1190, 5288, 1194, 1196, 1197, 3244, 1199, 1202, 1205, 1207, 1209, 1210, 3257, 1212, 3262, 3263, 1216, 3266, 3269, 3270, 1223, 3272, 1226, 5323, 5324, 3277, 5325, 5326, 5327, 3281, 1234, 3282, 1236, 3284, 5329, 5332, 5335, 3289, 5337, 5338, 5339, 3294, 1249, 3297, 1251, 3299, 1253, 3301, 5347, 5351, 5352, 3307, 1260, 3311, 3312, 3314, 3316, 3317, 3319, 3321, 3322, 1275, 3323, 3324, 3325, 3327, 5371, 1281, 1282, 1283, 5384, 5386, 5387, 5388, 1294, 3342, 3343, 1297, 3346, 1299, 5390, 5392, 1302, 1303, 1304, 1305, 5396, 5399, 1308, 5403, 1310, 5405, 1312, 5409, 1314, 3362, 1317, 1318, 5415, 5416, 5420, 1325, 1326, 3374, 5427, 5428, 5432, 5435, 1341, 5437, 5439, 5442, 5443, 5445, 1351, 1352, 5447, 5449, 5451, 5453, 5454, 5457, 1363, 1364, 1367, 5465, 1370, 5466, 3421, 1374, 5472, 1378, 5475, 1380, 5476, 5479, 5481, 5483, 3436, 5485, 5486, 5488, 5489, 3443, 1398, 1399, 1400, 5494, 5497, 1403, 5498, 1405, 1407, 1408, 3456, 5505, 5506, 1412, 1413, 1414, 3462, 1416, 5507, 5508, 5510, 1420, 5513, 5514, 1423, 5515, 3473, 5516, 5517, 5519, 5520, 1430, 3486, 1441, 1447, 1449, 1450, 1451, 5545, 1453, 5548, 5551, 3504, 5553, 1459, 5557, 5558, 5559, 5560, 1465, 5561, 5562, 5565, 1470, 5566, 5567, 1473, 5569, 5571, 1479, 1480, 5576, 5577, 5579, 5580, 1486, 1487, 5582, 5583, 5584, 5586, 5587, 5592, 5593, 5594, 1499, 5596, 1501, 5597, 5598, 1504, 5600, 5601, 5602, 1508, 1513, 5611, 5618, 5622, 5624, 5630, 5632, 1537, 1538, 1539, 5634, 3591, 1544, 5639, 5640, 1547, 5644, 5646, 1551, 1554, 5650, 1560, 3617, 5669, 5670, 1576, 5673, 3626, 3627, 5674, 1581, 3630, 5677, 5679, 5681, 3634, 5682, 1588, 3644, 1599, 3660, 3663, 3667, 3669, 3674, 3683, 3686, 5734, 5735, 3689, 5736, 5737, 5738, 5739, 5740, 5741, 5742, 5743, 5744, 5745, 5746, 5747, 5748, 3703, 3704, 5749, 3706, 5750, 5752, 5753, 5754, 5755, 5756, 5761, 1670, 5767, 5768, 1673, 3725, 1681, 1682, 3731, 3733, 1686, 1689, 1690, 1693, 3743, 1696, 1700, 1702, 1704, 1706, 1711, 3760, 1714, 1718, 1720, 1723, 3771, 1727, 3785, 1739, 3816, 3817, 3824, 3829, 3836, 3837, 1801, 1804, 3853, 1807, 1811, 3870, 1828, 3883, 1837, 1846, 1852, 1853, 1854, 1864, 1865, 1866, 3921, 1876, 3924, 1884, 3935, 3944, 1901, 1904, 1911, 1912, 1916, 1918, 3969, 1923, 1936, 3985, 3988, 1945, 1946, 1949, 1955, 1956, 4003, 1958, 1961, 1969, 1974, 1985, 6112, 2020, 4068, 2022, 2023, 2024, 4073, 4078, 4086, 2044]}
20125491;20125491;20125491;;;64080;;;64080;0;0;64080;{'1': [2054, 2057, 4107, 2071, 4120, 4123, 2076, 2079, 2080, 2081, 2082, 2088, 4136, 2092, 2094, 2101, 54, 4156, 2113, 2115, 2116, 4165, 2119, 2129, 2132, 2136, 2138, 2147, 4200, 2158, 2168, 2181, 2184, 2196, 2203, 2204, 2207, 2210, 4295, 2277, 2291, 2295, 2296, 2318, 282, 4378, 4384, 2346, 2347, 2349, 4399, 2352, 4421, 4422, 2375, 2376, 4423, 2384, 4432, 2387, 2392, 2394, 4444, 2407, 2415, 2420, 2431, 2434, 389, 2440, 2470, 2495, 2515, 4570, 4573, 4575, 2529, 2548, 4597, 2555, 507, 2563, 4619, 2577, 4625, 2579, 4628, 2585, 538, 4635, 2589, 551, 2634, 4697, 2672, 4744, 4760, 671, 684, 2733, 686, 4789, 694, 2743, 2745, 701, 705, 707, 2761, 714, 2764, 2766, 726, 4833, 745, 777, 780, 781, 783, 4880, 4886, 793, 799, 2854, 825, 833, 837, 4939, 4944, 852, 2908, 2914, 4964, 4967, 876, 878, 879, 4974, 4976, 882, 4979, 885, 4981, 4987, 894, 2943, 4999, 907, 5004, 912, 5009, 5010, 917, 918, 5014, 920, 2969, 926, 5023, 2986, 939, 5035, 5039, 5042, 5048, 957, 5053, 5061, 3015, 5066, 5067, 5077, 983, 5083, 5084, 5085, 990, 991, 5087, 5088, 5090, 995, 5094, 3048, 5099, 5105, 1015, 1018, 5114, 1020, 5115, 5122, 1029, 3078, 5133, 1039, 1046, 1052, 1054, 1061, 1063, 1065, 1066, 1067, 1070, 1071, 1073, 1075, 5180, 1088, 5185, 1091, 1092, 5190, 1095, 5197, 5198, 1104, 5201, 1106, 5202, 5203, 3157, 1110, 5204, 1112, 3160, 5206, 5208, 5210, 1117, 3166, 5212, 5213, 1121, 5214, 3171, 5217, 5220, 5222, 1128, 3176, 1130, 5225, 1132, 1133, 5226, 5227, 5228, 1137, 3186, 5229, 1140, 5232, 1142, 1143, 5233, 5234, 5235, 5247, 1152, 1153, 5251, 5252, 3205, 1162, 1163, 1164, 5259, 1166, 5260, 5264, 1170, 5266, 1174, 5271, 1176, 5273, 5276, 3229, 5277, 1185, 5281, 1189, 1190, 5288, 1194, 1196, 1197, 3244, 1199, 1202, 1205, 1207, 1209, 1210, 3257, 1212, 3262, 3263, 1216, 3266, 3269, 3270, 1223, 3272, 1226, 5323, 5324, 3277, 5325, 5326, 5327, 3281, 1234, 3282, 1236, 3284, 5329, 5332, 5335, 3289, 5337, 5338, 5339, 3294, 1249, 3297, 1251, 3299, 1253, 3301, 5347, 5351, 5352, 3307, 1260, 3311, 3312, 3314, 3316, 3317, 3319, 3321, 3322, 1275, 3323, 3324, 3325, 3327, 5371, 1281, 1282, 1283, 5384, 5386, 5387, 5388, 1294, 3342, 3343, 1297, 3346, 1299, 5390, 5392, 1302, 1303, 1304, 1305, 5396, 5399, 1308, 5403, 1310, 5405, 1312, 5409, 1314, 3362, 1317, 1318, 5415, 5416, 5420, 1325, 1326, 3374, 5427, 5428, 5432, 5435, 1341, 5437, 5439, 5442, 5443, 5445, 1351, 1352, 5447, 5449, 5451, 5453, 5454, 5457, 1363, 1364, 1367, 5465, 1370, 5466, 3421, 1374, 5472, 1378, 5475, 1380, 5476, 5479, 5481, 5483, 3436, 5485, 5486, 5488, 5489, 3443, 1398, 1399, 1400, 5494, 5497, 1403, 5498, 1405, 1407, 1408, 3456, 5505, 5506, 1412, 1413, 1414, 3462, 1416, 5507, 5508, 5510, 1420, 5513, 5514, 1423, 5515, 3473, 5516, 5517, 5519, 5520, 1430, 3486, 1441, 1447, 1449, 1450, 1451, 5545, 1453, 5548, 5551, 3504, 5553, 1459, 5557, 5558, 5559, 5560, 1465, 5561, 5562, 5565, 1470, 5566, 5567, 1473, 5569, 5571, 1479, 1480, 5576, 5577, 5579, 5580, 1486, 1487, 5582, 5583, 5584, 5586, 5587, 5592, 5593, 5594, 1499, 5596, 1501, 5597, 5598, 1504, 5600, 5601, 5602, 1508, 1513, 5611, 5618, 5622, 5624, 5630, 5632, 1537, 1538, 1539, 5634, 3591, 1544, 5639, 5640, 1547, 5644, 5646, 1551, 1554, 5650, 1560, 3617, 5669, 5670, 1576, 5673, 3626, 3627, 5674, 1581, 3630, 5677, 5679, 5681, 3634, 5682, 1588, 3644, 1599, 3660, 3663, 3667, 3669, 3674, 3683, 3686, 5734, 5735, 3689, 5736, 5737, 5738, 5739, 5740, 5741, 5742, 5743, 5744, 5745, 5746, 5747, 5748, 3703, 3704, 5749, 3706, 5750, 5752, 5753, 5754, 5755, 5756, 5761, 1670, 5767, 5768, 1673, 3725, 1681, 1682, 3731, 3733, 1686, 1689, 1690, 1693, 3743, 1696, 1700, 1702, 1704, 1706, 1711, 3760, 1714, 1718, 1720, 1723, 3771, 1727, 3785, 1739, 3816, 3817, 3824, 3829, 3836, 3837, 1801, 1804, 3853, 1807, 1811, 3870, 1828, 3883, 1837, 1846, 1852, 1853, 1854, 1864, 1865, 1866, 3921, 1876, 3924, 1884, 3935, 3944, 1901, 1904, 1911, 1912, 1916, 1918, 3969, 1923, 1936, 3985, 3988, 1945, 1946, 1949, 1955, 1956, 4003, 1958, 1961, 1969, 1974, 1985, 6112, 2020, 4068, 2022, 2023, 2024, 4073, 4078, 4086, 2044]}
1981349;1981349;1981349;;;;;;0;0;0;0;{'1': []}
20066224;20066224;20066224;;;;;;0;0;0;0;{'1': []}
20091441;20091441;20091441;;;38;;;38;0;0;38;{'1': [2053, 2567, 5391, 405, 2837, 407, 284, 1436, 3102, 4637, 1827, 5667, 4133, 688, 3637, 5431, 5434, 4033, 4418, 5444, 325, 966, 2633, 3918, 721, 1746, 2905, 4186, 4957, 5471, 5605, 742, 617, 2157, 3438, 380, 2172, 4863]}
2015244;2015244;2015244;;;;;;0;0;0;0;{'1': []}
20091953;20091953;20091953;;;;;;0;0;0;0;{'1': []}
20125666;20125666;20125666;;;210;;;210;0;0;210;{'1': [1072, 6471, 3655, 687]}
20175802;20175802;20175802;;;840;;;840;0;0;840;{'1': [1952, 4706, 3491, 4131, 166, 1814, 1306, 4094]}
