codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;cantidad_total_6;cantidad_parcial_6;cantidad_pendiente_6;cantidad_total_7;cantidad_parcial_7;cantidad_pendiente_7;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20782;AP20782;AP20782;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20787;AP20787;AP20787;;;2;;;2;;;;;;5;;;;;;;;;;;;9;0;0;9;{'1': [6877], '2': [605], '3': [], '4': [2064, 827], '5': [], '6': [11526, 11530, 11984, 14548, 11064], '7': [8833, 8588, 9489, 12820, 5913, 4122, 1434, 1948, 157, 7196, 11295, 5152, 1953, 3109, 2342, 7466, 688, 10167, 5816, 11451, 1598, 7746, 6737, 3673, 5348, 3686, 6886, 8679, 7017, 8041, 9328, 4082, 1273, 4986, 3579, 4991]}
AP20794;AP20794;AP20794;;;4860;;;2325;;;4200;;;3190;;;2160;210;;1590;450;;210;110;;18535;770;0;19305;{'1': [2051, 10759, 14857, 10762, 3086, 5646, 3099, 13853, 2094, 1583, 560, 3118, 14399, 13892, 14920, 3145, 13897, 1617, 11858, 12887, 8813, 10864, 11922, 150, 151, 11928, 10919, 168, 8373, 14522, 193, 12999, 8392, 2249, 2763, 6347, 2765, 8920, 5856, 7395, 8429, 242, 14067, 8952, 8977, 11541, 278, 13594, 289, 12579, 14629, 1842, 14652, 2367, 13123, 2885, 1865, 2893, 12109, 14163, 12119, 1881, 3419, 14178, 1892, 13156, 12134, 1399, 1913, 12665, 1404, 1918, 2944, 11650, 11654, 9097, 8588, 11148, 14760, 3498, 9650, 11187, 3509, 8635, 1983, 3523, 14791, 3535, 8146, 3542, 2012, 13794, 13795, 2020, 11248, 12786, 8182, 4087, 2552, 2042, 6139], '2': [14209, 2307, 7561, 5258, 13067, 6540, 1293, 7957, 14742, 8344, 14074, 2075, 6557, 9376, 8994, 8099, 1573, 424, 2729, 7976, 8491, 8873, 13995, 4526, 6702, 6448, 8754, 8627, 14079, 7734, 13496, 8381, 7873, 7364, 6725, 11342, 8143, 2128, 7252, 10328, 12889, 8666, 7259, 348, 7515, 7776, 7265, 1891, 10725, 13285, 7551, 1257, 8044, 5997, 8825, 6258, 14194, 6009, 8186, 8189, 7039], '3': [9856, 6401, 9474, 3587, 10244, 12290, 13191, 12296, 6153, 12557, 8846, 4498, 4499, 9490, 12562, 278, 9366, 5530, 9244, 5789, 13215, 4768, 9891, 807, 9772, 1967, 13621, 4281, 6330, 8251, 8252, 4030, 1727, 7998, 961, 1731, 9667, 3397, 12740, 1223, 9671, 10567, 14149, 6861, 2640, 12884, 12885, 11606, 855, 3161, 8026, 8541, 375, 10592, 7777, 13919, 5095, 10599, 3049, 10736, 5873, 2037, 1655, 12536, 12537, 4987, 12927], '4': [13441, 2563, 11013, 2310, 2825, 11401, 9975, 14347, 5901, 2574, 4881, 13457, 12568, 2716, 7452, 12700, 13597, 4000, 11042, 1187, 11047, 8746, 2731, 10156, 5677, 12842, 13100, 11056, 12977, 2610, 13103, 6708, 7093, 12982, 6071, 3768, 14893, 13123, 13635, 3526, 13510, 12874, 6862, 2511, 13135, 13392, 3802, 10844, 13150, 7519, 1632, 1250, 2018, 7779, 2533, 13415, 1640, 10859, 3308, 11115, 6126, 14968, 2288, 2291, 13301, 3063, 13816, 12541, 2173], '5': [13306, 10249, 10252, 10894, 11023, 6547, 12819, 1658, 4765, 5793, 13219, 164, 13093, 4649, 4650, 6833, 307, 5043, 2630, 11207, 13005, 335, 8656, 10447, 6237, 5990, 105, 13423, 3569, 9330, 3066, 6396, 7039], '6': [9472, 14592, 8578, 14985, 3978, 1293, 2957, 1811, 11284, 7064, 14360, 14111, 14711, 14498, 6696, 13097, 5296, 6450, 7218, 5693, 5822, 14143, 453, 14536, 3664, 5328, 12625, 14419, 14168, 1626, 6874, 14044, 14170, 6239, 13431, 3683, 5094, 2279, 6504, 8681, 1130, 9062, 13036, 12783, 13808, 12659, 3828, 4468, 11894, 2423, 14584, 14714, 3839], '7': [1026, 4, 2057, 11, 8715, 1040, 531, 11287, 34, 9266, 12853, 12342, 12856, 10811, 8253, 12868, 12879, 8786, 2143, 1127, 1129, 10874, 12922, 11908, 1674, 2191, 657, 1169, 155, 10412, 10417, 10433, 1733, 7887, 7894, 4827, 2270, 2279, 13034, 1772, 12017, 11507, 13043, 13045, 246, 11004, 9470, 13055, 773, 12551, 270, 11031, 10024, 10045, 1863, 1353, 4428, 11094, 10071, 8031, 10083, 1389, 9586, 9099, 11661, 10130, 1429, 1431, 408, 12188, 9636, 7598, 1970, 9655, 9154, 10183, 11720, 10707, 10196, 8662, 12771, 11764, 9721]}
AP20795;AP20795;AP20795;;;;;;;;;;;;30;;;;;;90;;;;;;120;0;0;120;{'1': [], '2': [], '3': [], '4': [6494], '5': [], '6': [12035, 13583, 13720, 12574, 13216, 10790, 14250, 11187, 10551, 10428, 12479, 14656, 14273, 10439, 11080, 12242, 12629, 13918, 10855, 12269, 10862, 7417, 10490], '7': [6656, 6659, 4740, 3205, 774, 390, 6149, 10633, 8845, 5394, 11538, 5910, 11670, 26, 8347, 8731, 9757, 3742, 9893, 6312, 10798, 5436, 4412, 4158, 3517, 6588, 6081, 7362, 10945, 711, 4682, 2764, 9814, 13014, 11229, 4831, 6114, 6370, 1001, 619, 3694, 7406, 2931, 12284, 9854]}
AP20816;AP20816;AP20816;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20821;AP20821;AP20821;;;1740;;;747;;;1212;;;750;;;790;300;;430;330;;;60;;5669;690;0;6359;{'1': [6784, 5383, 10375, 14219, 6796, 6419, 4629, 14486, 6425, 11929, 9499, 6435, 7980, 8885, 14650, 8257, 9158, 10567, 11464, 10954, 8907, 10576, 7255, 10329, 14428, 2013, 2146, 1764, 1769, 1774, 10351, 10865, 6775, 8057, 2810, 11131], '2': [12641, 14171, 14022, 10218, 14442, 9740, 11341, 302, 14605, 8144, 12336, 6546, 13810, 14322, 3835, 1309, 14238], '3': [524, 9109, 10903, 7321, 7453, 1055, 1060, 1701, 8745, 2474, 10537, 10681, 5441, 13123, 9156, 8521, 13897, 3021, 14414, 2515, 4053, 8031, 7135, 10597, 9190, 5224, 746, 9067, 9708, 12273], '4': [7941, 14153, 14156, 9562, 338, 787, 8626, 9874, 6008, 7674, 4635, 607], '5': [10379, 1679, 10905, 5018, 12443, 10400, 11554, 4647, 9647, 9903, 6968, 13625, 7488, 11332, 6867, 2773, 3415, 3293, 9448, 13300, 11774], '6': [3714, 963, 6372, 261, 8359, 5067, 5420, 4591, 5202, 1687, 1625, 90, 5431], '7': [8672, 10494, 5128, 9738, 6191, 8178, 3892, 12757, 11638, 11962, 6238, 10591]}
AP20822;AP20822;AP20822;;;2151;;;1272;;;1245;;;1410;;;1130;285;;750;405;;120;90;;8078;780;0;8858;{'1': [9859, 11013, 9223, 2184, 11018, 4107, 9228, 11786, 4110, 3855, 6544, 7951, 11023, 8211, 11028, 12819, 12823, 1816, 11033, 13851, 7711, 6953, 6446, 3375, 7088, 7727, 6834, 9395, 7735, 11965, 12683, 12101, 7501, 465, 11987, 13395, 4309, 9813, 7129, 4059, 11740, 7392, 12645, 7910, 8039, 12649, 12653, 8174, 14837, 10360, 8954, 8062], '2': [14727, 650, 13066, 2449, 11283, 6299, 13481, 14902, 13495, 830, 710, 9677, 10321, 6355, 597, 13402, 10714, 14048, 1892, 1004, 14703, 3954, 2423], '3': [6920, 11148, 147, 6549, 4767, 11935, 936, 14895, 14898, 5942, 3004, 7484, 4544, 14664, 4555, 11469, 6862, 1879, 7258, 4835, 1260, 369, 5874, 758, 1788], '4': [5121, 8733, 6691, 5540, 7181, 1084, 2575, 5422, 8622, 8338, 10478, 244, 6036, 5047, 5405, 4412, 4061, 6366], '5': [10378, 11661, 9238, 10396, 801, 13745, 818, 5810, 5431, 6848, 2629, 9926, 3419, 13020, 13148, 13662, 12390, 2676, 1914, 9340, 1533, 4734], '6': [5472, 8345, 6947, 454, 2566, 5126, 2891, 3563, 5963, 175, 48, 1425, 5780, 1561, 4922, 6238, 767], '7': [5504, 10497, 5251, 7173, 11404, 8719, 10132, 5912, 12185, 10778, 6391, 8860, 11420, 5537, 2595, 12967, 8492, 12206, 7091, 8118, 8254, 8895, 9151, 8897, 9536, 9283, 10686, 11712, 10056, 8139, 10444, 6094, 8654, 10192, 10197, 10072, 9050, 4828, 11105, 9186, 9826, 11618, 11745, 5227, 10352, 9841, 6386, 8052, 7927, 8056, 5501, 5886, 8063]}
AP20827;AP20827;AP20827;;;120;;;168;;;178;;;90;;;60;120;;264;542;;;;;880;662;0;1542;{'1': [5932, 14415], '2': [11961, 1034, 10670], '3': [8511, 13071, 13072, 3279, 7199], '4': [10949], '5': [12523, 12675, 11573, 12111], '6': [7969, 8057, 9646, 1522, 6898, 4149, 4727, 4249, 2074, 4923, 5948, 9854], '7': []}
AP20828;AP20828;AP20828;;;210;;;30;;;210;;;30;;;;30;;;;;;;;480;30;0;510;{'1': [1730, 4811, 3981, 14605, 11535, 9336], '2': [10163], '3': [5157, 1520, 6810, 6811, 5470], '4': [682], '5': [14249], '6': [], '7': [9366, 7959]}
AP20829;AP20829;AP20829;;;;;;84;;;120;;;;;;;56;;294;312;;;;;498;368;0;866;{'1': [], '2': [4780, 3037, 3038], '3': [4554, 13156], '4': [], '5': [14233, 12134], '6': [6500, 7428, 3718, 12900, 9224, 6771, 7604, 11895, 7547, 3452, 6717, 9087], '7': []}
AP20830;AP20830;AP20830;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': [7464]}
AP20841;AP20841;AP20841;;;360;;;150;;;180;;;252;;;91;;;390;;;;;;1423;0;0;1423;{'1': [12394, 7884, 7697, 10517, 12918, 11576, 11966], '2': [11036, 621, 11054], '3': [344, 1640, 135], '4': [8384, 3946, 5427, 10862], '5': [4298, 5220, 8822], '6': [3648, 3507, 6508], '7': []}
AP20842;AP20842;AP20842;;;30;;;240;;;240;;;154;;;420;;;180;30;;;;;1264;30;0;1294;{'1': [8151], '2': [11059, 11895], '3': [2616, 6523, 6172, 7310], '4': [7879, 6283, 5456, 5045, 4223], '5': [7426, 3796, 2452, 7542], '6': [5969, 1355], '7': [8857, 94]}
AP20851;AP20851;AP20851;;;;;;;;;;;;;;;;;;60;330;;;;;60;330;0;390;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [2289, 10287, 10286, 5799], '7': []}
AP20853;AP20853;AP20853;;;;;;;;;;;;;;;;;;;30;;;;;0;30;0;30;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [9323], '7': []}
AP20855;AP20855;AP20855;;;90;;;;;;;;;;;;360;;;;240;;;;;450;240;0;690;{'1': [4924], '2': [], '3': [], '4': [], '5': [4576, 10651], '6': [10105, 6405], '7': [9426, 10999, 9271]}
AP20856;AP20856;AP20856;;;;;;;;;;;;;;;;240;;;120;;;;;0;360;0;360;{'1': [], '2': [], '3': [], '4': [], '5': [12681, 12965], '6': [9442], '7': [9960, 4665, 11456]}
AP20857;AP20857;AP20857;;;435;;;860;;;1320;;;760;;;810;;;360;660;;;;;4545;660;0;5205;{'1': [3928, 4940, 7590, 5212], '2': [13380, 14470, 1865, 11466, 9975, 14617, 13950, 11487], '3': [11553, 7625, 14731, 14732, 4978, 2906, 11228], '4': [897, 9028], '5': [13483, 9588, 2470], '6': [10507, 10476, 751, 2713, 7065, 14399, 6078, 14271], '7': [12463, 11986, 1461, 2262, 12888]}
AP20858;AP20858;AP20858;;;390;;;780;;;420;;;330;;;810;90;;930;330;;;;;3660;420;0;4080;{'1': [7409, 7889, 8169, 10397], '2': [777, 10316, 1549, 10926, 12026], '3': [409, 7148, 6701], '4': [10313, 445, 4918], '5': [3494, 11754, 685, 4052, 1205, 411], '6': [8100, 9640, 1194, 12074, 9324, 11182, 10353, 11731, 8564, 7092, 10837, 12699, 8284], '7': [7750, 13066, 1131, 6942, 12143, 3281, 5650, 12497, 9014, 5469, 478, 4959]}
AP20868;AP20868;AP20868;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20875;AP20875;AP20875;;;45;;;41;;;54;;;64;;;51;5;;20;10;;;2;;275;17;0;292;{'1': [8593, 11539, 2452, 8725, 11415, 11417, 12446, 4640, 5664, 11684, 11692, 13870, 1333, 12987, 1598, 12479, 8512, 3400, 3529, 13128, 1356, 12630, 12632, 6628, 1125, 11367, 1129, 8809, 12777, 1133, 10094, 12276, 10230, 13691, 1278], '2': [11139, 3085, 12175, 10134, 281, 10908, 11938, 7464, 5546, 13099, 1839, 7858, 14262, 14914, 14917, 13129, 10072, 4960, 2913, 869, 7270, 12776, 2539, 10607, 10224, 1781, 2293, 2043], '3': [11791, 6932, 3357, 3358, 10921, 3115, 9649, 2490, 5184, 7490, 1480, 6480, 8528, 2902, 4957, 8288, 4838, 5607, 5609, 7785, 13418, 7661, 3827, 14451, 12150, 4600, 6521, 7802, 4093, 13438], '4': [5513, 5645, 7182, 789, 13846, 12442, 5024, 12968, 9132, 14892, 4655, 8369, 10421, 314, 4923, 4544, 2888, 2889, 468, 214, 5608, 8315], '5': [12555, 1296, 10002, 4755, 10517, 3230, 2085, 3753, 2347, 14125, 7479, 1592, 8899, 9675, 9550, 13135, 13392, 14933, 2903, 8922, 608, 6497, 2417, 3057, 3058, 9851], '6': [11396, 1931, 10129, 3481, 12831, 546, 5284, 8491, 2349, 5808, 8378, 1477, 4812, 207, 13009, 4436, 3179, 3186, 3959], '7': [960, 10306, 4227, 4325, 4518, 9990, 4585, 11753, 5611, 3148, 8652, 782, 11600, 3955, 5882, 7739, 13021, 12831]}
AP20880;AP20880;AP20880;;;1110;;;3090;;;2520;;;2205;;;3060;480;;1440;300;;150;90;;13575;870;0;14445;{'1': [7745, 4194, 14085, 7334, 14982, 4520, 10441, 3946, 9866, 3661, 5713, 7602, 9970, 10130, 6522, 10109, 7839], '2': [0, 12416, 10499, 519, 14218, 1551, 14993, 1298, 13331, 1566, 10920, 1449, 14377, 10667, 3116, 14378, 12079, 3762, 11191, 10425, 13501, 11210, 13515, 14796, 3789, 10831, 13264, 12627, 9814, 10839, 12886, 13144, 3676, 4839, 13931, 3052, 10733, 14445, 14191, 12403, 10359, 14460, 11903], '3': [6016, 11649, 12175, 14224, 9234, 7318, 9238, 2840, 6296, 9495, 5022, 8744, 11311, 8753, 2745, 443, 580, 5061, 14404, 6983, 2389, 4571, 3295, 11743, 1634, 5346, 4452, 1515, 7020, 4335, 3056, 3952, 3058, 4595, 11250, 11001], '4': [7808, 404, 5013, 10397, 6306, 8237, 9013, 7485, 4288, 580, 845, 12493, 8279, 9433, 6106, 7771, 6363, 4958, 4706, 745, 623, 495, 9074, 6771, 7924, 13950], '5': [2433, 13065, 11150, 2451, 3480, 6809, 7705, 1693, 8736, 9379, 13609, 1194, 10539, 10799, 3120, 947, 8631, 9913, 3642, 6843, 6973, 6860, 6861, 3026, 4051, 5980, 5981, 6494, 13276, 1766, 4839, 2921, 13289, 5233, 13938, 7545, 2170, 9981], '6': [6017, 13700, 7309, 5265, 11794, 1570, 13098, 5036, 7087, 12340, 13365, 11710, 12610, 13252, 12229, 8776, 12366, 2000, 13268, 14683, 4445, 5740, 14575, 14959, 10865, 13298, 2932], '7': [4771, 2055, 296, 9640, 5834, 9931, 9228, 11815, 8239, 432, 2204, 1398, 3768, 7545, 1980, 9502, 1887]}
AP20881;AP20881;AP20881;;;150;;;210;;;480;;;;;;510;;;60;150;;;;;1410;150;0;1560;{'1': [12754, 8202, 4573], '2': [3056, 13850, 14815], '3': [10784, 1424, 1425, 11194, 2843, 3871], '4': [], '5': [1824, 5737, 5973, 885, 3418], '6': [906, 3235, 7405, 5518], '7': []}
AP20882;AP20882;AP20882;;;3720;;;1590;;;1290;;;2540;;;6225;240;;750;140;;60;;;16175;380;0;16555;{'1': [4096, 4609, 14602, 10765, 5647, 10770, 3347, 6675, 5782, 5784, 1178, 3739, 9500, 13087, 10020, 14501, 8998, 12072, 10158, 6578, 6324, 6711, 10423, 14396, 6334, 6590, 7358, 6978, 13893, 4553, 5582, 5588, 9821, 5602, 6888, 5867, 6891, 5999, 5616, 9713, 6527], '2': [1408, 4109, 11796, 1173, 13717, 10147, 12842, 9785, 1339, 10304, 12754, 3285, 982, 988, 1380, 4838, 3432, 12778, 13814], '3': [14978, 1795, 5130, 9105, 2205, 1566, 10787, 12198, 1192, 11178, 9133, 9786, 12092, 9791, 2373, 3142, 2380, 2257, 14936, 2173], '4': [5379, 5765, 8715, 6037, 5667, 4522, 6574, 10672, 5685, 4538, 10939, 6590, 8638, 5575, 6600, 4425, 10951, 13904, 7763, 4952, 2653, 5088, 5217, 4715, 8690, 8435, 10873], '5': [8066, 13829, 7048, 7433, 8328, 7307, 8332, 10506, 10507, 10634, 3856, 2833, 9234, 13074, 2964, 9621, 14350, 1687, 13465, 12318, 10783, 1569, 10017, 13860, 1701, 4138, 1324, 9900, 1070, 561, 3633, 1459, 7098, 9914, 3645, 4417, 3651, 3779, 4036, 8003, 12484, 3784, 13898, 1103, 13394, 7379, 3924, 3670, 8150, 11607, 6617, 7129, 8027, 4195, 11497, 3822, 2671, 13167, 3825, 4465, 6898, 13687, 4090, 1277, 3966], '6': [11778, 12167, 13961, 14863, 10769, 12052, 11417, 11290, 10779, 8475, 10524, 1437, 11551, 11932, 1569, 11681, 13598, 14364, 11173, 14881, 13863, 12457, 14121, 11179, 11820, 12076, 2478, 11694, 4528, 12207, 10418, 12975, 14130, 14387, 14646, 14266, 12091, 12348, 4414, 12991, 10560, 11457, 10690, 14783, 10954, 10443, 10700, 10957, 11212, 11469, 11851, 12364, 13137, 14026, 14411, 14926, 2521, 10459, 14940, 10981, 14444, 6511, 14191, 10871], '7': [3584, 1, 4609, 4614, 2576, 10261, 6168, 12322, 1059, 1580, 2604, 11825, 7737, 2618, 6204, 10815, 3139, 8268, 9298, 8276, 87, 1630, 12384, 10850, 8297, 4202, 2668, 8818, 627, 5235, 5749, 9335, 3193, 7289, 7290, 6781, 5758, 9341, 2177, 4742, 6278, 10895, 656, 11409, 6802, 12433, 3734, 5782, 7320, 10909, 5278, 11936, 4770, 10403, 6821, 10405, 8367, 689, 1716, 4279, 12984, 12990, 8896, 3777, 4298, 1740, 11469, 1757, 5347, 1764, 7911, 8937, 1779, 5875, 4854, 2809, 11516, 11518, 13054, 2816, 8960, 4866, 3336, 9483, 3340, 7953, 6418, 8468, 5399, 6425, 9497, 1310, 6943, 290, 8483, 11047, 808, 12584, 6954, 7469, 5935, 11056, 12595, 6452, 10556, 12100, 9029, 10057, 3402, 6988, 7500, 6482, 4444, 7518, 7009, 4963, 4967, 12136, 361, 11113, 5485, 3950, 5998, 9072, 7541, 10104, 2937, 11129, 5500, 8060, 7551, 6017, 3470, 3982, 7055, 5521, 5011, 12700, 1957, 7590, 7603, 6069, 10682, 1984, 1988, 4037, 968, 5065, 463, 9679, 12249, 4068, 9701, 6123, 1005, 4079, 12287]}
AP20888;AP20888;AP20888;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20892;AP20892;AP20892;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20893;AP20893;AP20893;;;7;;;3;;;;;;21;;;7;1;;29;;;;;;67;1;0;68;{'1': [856, 3052], '2': [5424, 4643], '3': [], '4': [1824, 11900, 3074, 13538, 3080, 3273, 2634, 14442, 3087, 12114, 14493, 14491, 2844, 3485, 14463], '5': [14499, 189, 13318, 11559], '6': [8192, 7330, 675, 1094, 5959, 393, 9833, 3020, 5333, 7608, 5178], '7': []}
AP20894;AP20894;AP20894;;;1945;;;2276;;;1619;;;2692;;;2189;;;1031;16;;28;;;11780;16;0;11796;{'1': [6145, 1549, 528, 2582, 6172, 2077, 4127, 8756, 55, 12857, 3651, 8265, 591, 9298, 6740, 2136, 1637, 1640, 6762, 108, 4719, 3697, 13945, 5243, 5245, 1663, 641, 3715, 3207, 13966, 8339, 2198, 169, 3245, 9391, 13492, 6850, 6851, 10950, 2251, 3277, 6351, 8408, 1250, 2795, 2284, 3308, 240, 14079, 12547, 2318, 273, 6929, 5921, 3362, 14117, 2854, 13105, 10746, 14658, 11590, 3911, 9049, 5993, 3438, 5493, 13693, 10118, 400, 6563, 425, 14268, 1474, 14788, 2508, 3034, 3038, 8670, 10722, 7148, 12282, 5116], '2': [6656, 4111, 11290, 4123, 1055, 7199, 43, 4143, 7730, 8246, 2621, 2637, 592, 7763, 9308, 6751, 2658, 7268, 4200, 5738, 5241, 7802, 8831, 4224, 10374, 5257, 2186, 6798, 3226, 4253, 6310, 6313, 175, 691, 695, 184, 4282, 4800, 5834, 11470, 719, 3281, 7900, 5341, 2283, 7923, 6905, 4345, 6395, 2299, 4864, 8448, 6922, 8468, 11542, 2845, 4906, 2860, 3375, 1843, 9017, 4943, 4436, 4438, 14683, 7517, 7522, 8041, 874, 12144, 4977, 408, 8089, 8602, 2982, 2475, 941, 11701, 3514, 6078, 7110, 6087, 9670, 5580, 3026, 11736, 9697, 6114, 5605, 8682, 12780, 9211, 4605], '3': [8709, 12293, 6407, 14470, 1161, 10634, 523, 9739, 8589, 11914, 8719, 10000, 1553, 5394, 3987, 6419, 10004, 11799, 5148, 14622, 13471, 10018, 10275, 9380, 9637, 811, 2348, 12715, 3376, 4913, 3890, 6580, 13624, 12473, 8506, 9146, 3263, 5825, 8259, 1988, 2501, 8516, 1351, 11587, 9931, 6479, 9551, 3409, 6994, 12629, 10584, 9305, 8796, 14558, 7391, 10463, 6501, 13413, 11879, 8808, 10344, 7405, 11117, 12525, 13044, 8699], '4': [2, 12295, 7177, 9744, 10256, 12307, 13343, 12832, 14372, 7208, 41, 4653, 11314, 52, 11324, 14396, 12865, 5186, 2641, 11857, 6740, 9815, 14935, 5209, 11354, 2141, 13407, 13414, 107, 11380, 9848, 14970, 12931, 1671, 11399, 13450, 3212, 3224, 7842, 3751, 3241, 170, 7852, 9392, 10416, 13491, 12468, 6837, 3767, 4281, 4282, 11458, 9412, 3781, 14534, 13513, 9931, 9423, 10960, 7895, 14040, 9435, 3809, 2274, 2284, 14072, 8959, 14080, 1796, 12548, 14596, 8970, 1803, 2316, 13587, 11548, 3362, 13606, 3886, 817, 14644, 14144, 1347, 1865, 7501, 8019, 11091, 13142, 1370, 11098, 5991, 7528, 9065, 11625, 6003, 1410, 7042, 10114, 5523, 5530, 9117, 4513, 9634, 12712, 11705, 3005, 3010, 12236, 3022, 7635, 3031, 11224, 11233, 3045, 3558, 13287, 12779, 7663, 8697, 3067], '5': [6144, 7680, 14352, 13844, 535, 7708, 13853, 13343, 4131, 8753, 2106, 2622, 10303, 2625, 1106, 2135, 7259, 14942, 8290, 3180, 109, 3698, 9847, 14967, 13437, 5760, 5761, 6784, 9857, 8836, 6794, 9872, 2708, 4252, 6304, 4773, 7850, 10923, 2742, 5815, 197, 9418, 8397, 9436, 7907, 5348, 3815, 3817, 8437, 8952, 8450, 5893, 6921, 6418, 6422, 2327, 3864, 2329, 10014, 10529, 11052, 9009, 4403, 1845, 14135, 3904, 13633, 6467, 5447, 10058, 845, 6480, 9554, 344, 10074, 4955, 6508, 13678, 8560, 8052, 8059, 1424, 14757, 13735, 9650, 6073, 3015, 14793, 8141, 6110, 8160, 8162, 1508, 7150, 14322, 4093, 4607], '6': [1153, 3586, 132, 9996, 3470, 6799, 2192, 2576, 8847, 4769, 1446, 1577, 4011, 2092, 2222, 8115, 3764, 11831, 5561, 7354, 5053, 3263, 196, 6469, 6980, 1607, 2766, 4815, 4689, 1874, 3282, 6610, 10196, 8154, 3163, 9820, 2529, 9446, 8168, 2160, 2416, 7664, 2803, 3700, 5759], '7': [8388]}
AP20898;AP20898;AP20898;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20908;AP20908;AP20908;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': [], '6': [], '7': []}
AP20913;AP20913;AP20913;;;5;;;6;;;4;;;19;;;9;;;7;;;;;;50;0;0;50;{'1': [2464, 8616, 2601, 3281, 14174], '2': [8096, 8266, 8116, 7093, 6934, 8223], '3': [9034, 10235, 10274, 12734], '4': [13824, 13315, 1292, 2451, 8211, 1305, 12713, 2603, 14767, 11195, 2250, 13270, 2777, 12381, 9195, 14578, 12532, 2551, 13439], '5': [3554, 10948, 13480, 13545, 2158, 12211, 12212, 12888, 3167], '6': [7559, 1292, 1490, 1689, 9596, 5182, 1119], '7': [4185, 12861, 10097]}
AP20916;AP20916;AP20916;;;;;;10;;;10;;;;;;14;;;;;;;;;34;0;0;34;{'1': [], '2': [14899], '3': [9189], '4': [], '5': [2944], '6': [12931], '7': [4157]}
AP20918;AP20918;AP20918;;;;;;;;;;;;30;;;30;;;;;;;;;60;0;0;60;{'1': [], '2': [], '3': [], '4': [12588], '5': [3560], '6': [], '7': []}
