codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;total_entregado_total;total_entregado_parcial;total_pendiente;matched_rows_per_source
AP21915;AP21915;AP21915;;;;;;0;0;0;{'1': []}
AP20085;AP20085;AP20085;;;390;1050;;390;1050;0;{'1': [3969, 259, 2443, 1292, 1422, 2704, 2705, 4246, 3736, 4120, 4506, 4512, 3492, 3748, 552, 4010, 4139, 2348, 2106, 3002, 3514, 3772, 3898, 960, 2497, 2508, 3150, 2128, 2898, 2389, 3287, 4697, 3293, 992, 2916, 4849, 2679, 633, 1404, 2942]}
AP22576;AP22576;AP22576;;;90;;;90;0;0;{'1': [2279]}
AP20121;AP20121;AP20121;;;;;;0;0;0;{'1': []}
AP24141;AP24141;AP24141;;;584;512;;584;512;0;{'1': [3653, 4006, 1511, 1416, 2376, 4664, 1485, 814, 2158, 3917, 242, 2227, 2610, 3672, 4729, 4670, 4639]}
AP20123;AP20123;AP20123;;;170;150;;170;150;0;{'1': [289, 291, 1060, 2606, 1661, 286]}
AP20062;AP20062;AP20062;;;;;;0;0;0;{'1': []}
AP20120;AP20120;AP20120;;;60;56;;60;56;0;{'1': [2986, 2950, 3871]}
AP20049;AP20049;AP20049;;;;;;0;0;0;{'1': []}
AP20107;AP20107;AP20107;;;90;;;90;0;0;{'1': [4567]}
AP20125;AP20125;AP20125;;;2;2;;2;2;0;{'1': [1834, 3116, 1071]}
AP20064;AP20064;AP20064;;;339;;;339;0;0;{'1': [3041, 1477, 3494, 4165, 4167, 4391, 2750]}
AP20449;AP20449;AP20449;;;;;;0;0;0;{'1': []}
AP20086;AP20086;AP20086;;;1018;490;;1018;490;0;{'1': [3584, 772, 2308, 1808, 1940, 4245, 1175, 1816, 4249, 1188, 1837, 4525, 4788, 821, 4278, 955, 3393, 1993, 2005, 3797, 4706, 3940, 2664, 2665, 1002, 2157, 1398, 1656, 507]}
AP23305;AP23305;AP23305;;;90;148;;90;148;0;{'1': [739, 203, 4601, 815, 210, 211, 4025]}
AP20088;AP20088;AP20088;;;465;30;;465;30;0;{'1': [1444, 4649, 362, 3885, 270, 4621, 2481, 2552, 1593, 1594, 1469, 4702]}
AP21507;AP21507;AP21507;;;;;;0;0;0;{'1': []}
AP23525;AP23525;AP23525;;;;;;0;0;0;{'1': []}
AP21126;AP21126;AP21126;;;2250;;;2250;0;0;{'1': [3075, 3589, 4746, 3979, 4113, 914, 921, 3878, 1063, 1452, 4526, 4275, 3263, 1984, 590, 4302, 4689, 1108, 597, 3413, 3419, 222, 1631, 3302, 231, 2923, 4717, 1774, 2168, 4217, 763, 4605]}
AP24223;AP24223;AP24223;;;;;;0;0;0;{'1': []}
AP21731;AP21731;AP21731;;;3420;;;3420;0;0;{'1': [3330, 3973, 3334, 394, 272, 2452, 1430, 283, 4519, 4648, 4009, 1706, 1712, 1585, 50, 563, 2225, 3000, 1220, 73, 2125, 1745, 83, 1491, 213, 3540, 4181, 4309, 3801, 1249, 486, 4713, 238, 2927, 3056, 2417, 4209, 756, 1908, 4214, 4860, 2430]}
AP21737;AP21737;AP21737;;;120;;;120;0;0;{'1': [3208, 2177]}
AP21735;AP21735;AP21735;;;17;;;17;0;0;{'1': [4295, 4781, 4751, 1238, 1178]}
N03AB0201C01;N03AB0201C01;N03AB0201C01;;;;;;0;0;0;{'1': []}
AP21727;AP21727;AP21727;;;60;80;;60;80;0;{'1': [2792, 2794, 2787, 1869]}
0;0;0;;;;;;0;0;0;{'1': []}
AP23266;AP23266;AP23266;;;4;1;;4;1;0;{'1': [3975, 2453, 3639]}
AP21729;AP21729;AP21729;;;;;;0;0;0;{'1': []}
AP21074;AP21074;AP21074;;;990;;;990;0;0;{'1': [2212, 1348, 3079, 4329, 75, 2316, 2989, 4749, 17, 4276, 4730]}
AP21077;AP21077;AP21077;;;1200;;;1200;0;0;{'1': [4226, 711, 4327, 4554, 1358, 3641, 304, 4375, 4783, 1780, 1878, 3926, 3225, 2811, 92, 3103]}
AP24092;AP24092;AP24092;;;;;;0;0;0;{'1': []}
AP21076;AP21076;AP21076;;;30;;;30;0;0;{'1': [3207, 3600, 2586, 157, 2335, 2720, 1571, 3620, 2853, 1582, 3118, 2867, 308, 1205, 438, 2232, 697, 3900, 2010, 3418, 1756, 1770, 1392, 1782, 3070]}
AP21076;AP21076;AP21076;;;30;;;30;0;0;{'1': [3207, 3600, 2586, 157, 2335, 2720, 1571, 3620, 2853, 1582, 3118, 2867, 308, 1205, 438, 2232, 697, 3900, 2010, 3418, 1756, 1770, 1392, 1782, 3070]}
AP22960;AP22960;AP22960;;;;;;0;0;0;{'1': []}
AP20844;AP20844;AP20844;;;90;420;;90;420;0;{'1': [4065, 4673, 713, 2351, 688, 979, 1978, 1757]}
AP22963;AP22963;AP22963;;;;;;0;0;0;{'1': []}
AP20846;AP20846;AP20846;;;;;;0;0;0;{'1': []}
AP22962;AP22962;AP22962;;;;;;0;0;0;{'1': []}
AP20849;AP20849;AP20849;;;;;;0;0;0;{'1': []}
AP22486;AP22486;AP22486;;;480;;;480;0;0;{'1': [1861, 4638, 1193, 1162, 3790, 3984, 2197, 3575, 506, 1630]}
AP20843;AP20843;AP20843;;;5;;;5;0;0;{'1': [787]}
AP20686;AP20686;AP20686;;;;;;0;0;0;{'1': []}
AP22935;AP22935;AP22935;;;;210;;0;210;0;{'1': [4889, 4466]}
AP21060;AP21060;AP21060;;;1140;;;1140;0;0;{'1': [2304, 4311, 2856, 4428, 3918, 2896, 3794, 3635, 2901, 2678, 2295, 3064, 442, 3995, 2236]}
AP22937;AP22937;AP22937;;;;360;;0;360;0;{'1': [675, 679, 489, 3404, 4537]}
AP20265;AP20265;AP20265;;;210;;;210;0;0;{'1': [2978, 4299, 1330, 2998, 2911]}
AP22936;AP22936;AP22936;;;8;20;;8;20;0;{'1': [4194, 483, 3433, 1080, 1658]}
AP22680;AP22680;AP22680;;;;;;0;0;0;{'1': []}
AP21590;AP21590;AP21590;;;;;;0;0;0;{'1': []}
AP23802;AP23802;AP23802;;;;450;;0;450;0;{'1': [2970, 2635, 3828, 2974]}
AP23899;AP23899;AP23899;;;;90;;0;90;0;{'1': [3882, 1037, 1119]}
AP23806;AP23806;AP23806;;;;150;;0;150;0;{'1': [1904, 3907]}
AP21591;AP21591;AP21591;;;;;;0;0;0;{'1': []}
AP23803;AP23803;AP23803;;;60;;;60;0;0;{'1': [3616]}
AP23807;AP23807;AP23807;;;60;180;;60;180;0;{'1': [3405, 13, 503]}
AP23792;AP23792;AP23792;;;10;22;;10;22;0;{'1': [2276, 1800, 2152, 4488, 117, 1079, 1949]}
AP20208;AP20208;AP20208;;;;;;0;0;0;{'1': []}
AP21431;AP21431;AP21431;;;;;;0;0;0;{'1': []}
AP22337;AP22337;AP22337;;;;;;0;0;0;{'1': []}
AP22999;AP22999;AP22999;;;;;;0;0;0;{'1': []}
AP22711;AP22711;AP22711;;;;;;0;0;0;{'1': []}
AP21453;AP21453;AP21453;;;;;;0;0;0;{'1': []}
AP21880;AP21880;AP21880;;;;;;0;0;0;{'1': []}
AP23981;AP23981;AP23981;;;;;;0;0;0;{'1': []}
AP21882;AP21882;AP21882;;;;;;0;0;0;{'1': []}
AP22605;AP22605;AP22605;;;60;;;60;0;0;{'1': [4288]}
AP22374;AP22374;AP22374;;;3390;2950;;3390;2950;0;{'1': [1920, 2562, 3074, 4357, 1798, 1031, 650, 12, 2060, 2317, 3214, 3351, 537, 3098, 796, 3101, 3229, 3486, 32, 1185, 1312, 1313, 4636, 4765, 1318, 2854, 3495, 1321, 2858, 2347, 3753, 4395, 3246, 4906, 2992, 689, 4017, 3252, 2869, 1721, 3385, 3642, 2493, 1215, 449, 66, 3778, 3268, 3908, 1607, 3143, 4168, 1227, 4301, 1230, 3796, 2518, 1243, 2139, 2523, 3804, 4316, 4320, 2914, 4323, 1508, 872, 2922, 3946, 1905, 2546, 3059, 2682, 4859]}
AP20489;AP20489;AP20489;;;;;;0;0;0;{'1': []}
AP22375;AP22375;AP22375;;;1230;2930;;1230;2930;0;{'1': [1539, 4358, 2440, 4235, 4238, 4240, 4372, 4121, 4251, 2464, 4256, 2341, 2469, 2726, 3877, 2985, 3114, 2987, 3879, 2349, 2990, 2479, 3631, 3633, 4146, 3638, 3513, 2623, 3519, 2881, 2882, 3521, 4672, 454, 2503, 3398, 2378, 4172, 3151, 1747, 3795, 4693, 2902, 3286, 473, 2656, 2529, 3554, 106, 2282, 2410, 3564, 2673, 3446, 3834, 4351]}
AP20491;AP20491;AP20491;;;;;;0;0;0;{'1': []}
AP21029;AP21029;AP21029;;;;;;0;0;0;{'1': []}
AP23163;AP23163;AP23163;;;;;;0;0;0;{'1': []}
AP21914;AP21914;AP21914;;;;;;0;0;0;{'1': []}
AP20734;AP20734;AP20734;;;;;;0;0;0;{'1': []}
AP22315;AP22315;AP22315;;;;;;0;0;0;{'1': []}
AP24140;AP24140;AP24140;;;;;;0;0;0;{'1': []}
AP22116;AP22116;AP22116;;;80;;;80;0;0;{'1': [2451, 2700, 3671]}
AP20179;AP20179;AP20179;;;;;;0;0;0;{'1': []}
AP21211;AP21211;AP21211;;;;;;0;0;0;{'1': []}
AP22117;AP22117;AP22117;;;;;;0;0;0;{'1': []}
AP23873;AP23873;AP23873;;;;;;0;0;0;{'1': []}
143436;143436;143436;;;;;;0;0;0;{'1': []}
AP23579;AP23579;AP23579;;;;;;0;0;0;{'1': []}
AP20971;AP20971;AP20971;;;;;;0;0;0;{'1': []}
AP21489;AP21489;AP21489;;;;;;0;0;0;{'1': []}
AP21490;AP21490;AP21490;;;;;;0;0;0;{'1': []}
AP21156;AP21156;AP21156;;;;30;;0;30;0;{'1': [745]}
AP22923;AP22923;AP22923;;;;;;0;0;0;{'1': []}
AP21704;AP21704;AP21704;;;;;;0;0;0;{'1': []}
AP22334;AP22334;AP22334;;;;;;0;0;0;{'1': []}
AP20551;AP20551;AP20551;;;;;;0;0;0;{'1': []}
AP21478;AP21478;AP21478;;;;;;0;0;0;{'1': []}
AP23354;AP23354;AP23354;;;;;;0;0;0;{'1': []}
AP21467;AP21467;AP21467;;;;;;0;0;0;{'1': []}
AP22646;AP22646;AP22646;;;8;18;;8;18;0;{'1': [2019, 4231, 4232, 1546, 2926, 2929, 2940, 2910]}
AP21129;AP21129;AP21129;;;;;;0;0;0;{'1': []}
AP21546;AP21546;AP21546;;;;;;0;0;0;{'1': []}
AP24088;AP24088;AP24088;;;;;;0;0;0;{'1': []}
AP20759;AP20759;AP20759;;;;;;0;0;0;{'1': []}
AP24133;AP24133;AP24133;;;;;;0;0;0;{'1': []}
AP22620;AP22620;AP22620;;;;;;0;0;0;{'1': []}
M02AA1551C02;M02AA1551C02;M02AA1551C02;;;;;;0;0;0;{'1': []}
AP21418;AP21418;AP21418;;;;;;0;0;0;{'1': []}
AP20953;AP20953;AP20953;;;;;;0;0;0;{'1': []}
AP22180;AP22180;AP22180;;;;;;0;0;0;{'1': []}
AP23893;AP23893;AP23893;;;;;;0;0;0;{'1': []}
AP22156;AP22156;AP22156;;;;;;0;0;0;{'1': []}
AP20010;AP20010;AP20010;;;;;;0;0;0;{'1': []}
AP22157;AP22157;AP22157;;;;;;0;0;0;{'1': []}
AP24278;AP24278;AP24278;;;300;150;;300;150;0;{'1': [4289, 4515, 2533, 1097, 4681, 1099, 4079, 208, 4049, 1970, 2006, 4317, 1977, 1917, 1918]}
AP22971;AP22971;AP22971;;;;;;0;0;0;{'1': []}
AP21963;AP21963;AP21963;;;;;;0;0;0;{'1': []}
AP22973;AP22973;AP22973;;;;;;0;0;0;{'1': []}
AP24563;AP24563;AP24563;;;;;;0;0;0;{'1': []}
AP22458;AP22458;AP22458;;;30;;;30;0;0;{'1': [4667]}
