codigo_neg;codigo_negociado;codigo_negociado_norm;codigo_cum;codigo_cum_norm;cantidad_total_1;cantidad_parcial_1;cantidad_pendiente_1;cantidad_total_2;cantidad_parcial_2;cantidad_pendiente_2;cantidad_total_3;cantidad_parcial_3;cantidad_pendiente_3;cantidad_total_4;cantidad_parcial_4;cantidad_pendiente_4;cantidad_total_5;cantidad_parcial_5;cantidad_pendiente_5;total_entregado_total;total_entregado_parcial;total_pendiente;;matched_rows_per_source
AP20140;AP20140;AP20140;;;1807;;;2019;;;1064;;;2139;;;;;;7029;0;0;7029;{'1': [3107, 7077, 11397, 11111, 2088, 2665, 6378, 8424, 11846, 7213, 12264, 3794, 7411, 540, 4797, 4831], '2': [6019, 10883, 7813, 3974, 13702, 14853, 13199, 10128, 14224, 1427, 3987, 10646, 10009, 10011, 13980, 12702, 9759, 7841, 3493, 3761, 5682, 10296, 3002, 10426, 14268, 14650, 10818, 9800, 13517, 10703, 83, 5590, 13399, 7770, 10074, 11490, 3048, 2283, 12781, 2542, 12784, 13429, 5753, 4859], '3': [1286, 136, 13326, 13200, 14993, 7571, 13979, 1182, 14113, 14372, 1452, 12845, 13740, 13615, 12602, 13500, 8126, 14399, 5059, 5957, 13894, 6215, 75, 2380, 14289, 14417, 5078, 3800, 7001, 14040, 14172, 1248, 609, 12778, 2163, 1908, 125, 758, 14332, 893, 14462, 6143], '4': [2051, 5652, 5141, 6678, 3095, 4632, 5145, 5655, 8727, 6684, 11505, 4128, 3105, 6692, 7204, 8741, 4135, 4136, 7720, 3631, 3121, 8754, 4147, 3643, 4667, 2626, 2116, 5702, 6727, 6216, 10313, 8787, 2644, 4181, 3160, 4184, 7772, 2141, 6751, 8800, 5729, 5730, 10852, 4711, 8807, 2666, 3690, 4714, 4209, 1140, 4724, 8820, 3194, 4604, 5244, 7294, 4736, 3205, 4744, 8842, 2699, 5261, 2705, 4753, 5778, 5780, 6804, 3734, 4247, 4759, 4252, 3234, 4774, 1704, 6827, 5808, 4273, 3254, 4797, 10941, 6847, 5313, 8899, 5828, 2759, 3784, 4808, 5833, 8905, 2764, 5838, 2767, 8912, 8915, 5335, 8925, 7390, 4319, 8927, 8928, 2787, 4323, 5348, 3817, 4332, 8941, 3310, 3823, 4335, 3313, 5359, 5874, 4340, 8947, 8949, 5879, 760, 9971, 1786, 10994, 4351, 6911, 8701, 1282, 6404, 774, 2310, 4873, 6410, 5899, 4368, 8475, 10013, 3871, 6943, 5409, 4387, 808, 5420, 4397, 8497, 4402, 5429, 6970, 3387, 8514, 5443, 8517, 6982, 1356, 2380, 4940, 1359, 4432, 4942, 3411, 4437, 4439, 4443, 6496, 10081, 5475, 3432, 5482, 4976, 3954, 4468, 7028, 2934, 8566, 2937, 3961, 889, 4987, 8570, 2430, 12158, 3969, 8578, 10626, 2436, 2951, 8583, 7567, 912, 5008, 5520, 4503, 6041, 1435, 5025, 5540, 8614, 7086, 8622, 5558, 1978, 4538, 4541, 7615, 4545, 8129, 4549, 8645, 3533, 8659, 1495, 1496, 4575, 8673, 5091, 5605, 4070, 4073, 5613, 4591, 5103, 8688, 4598, 4090, 2044, 5117], '5': [9379, 9670, 9128, 9608, 9418, 9074, 9526, 12856, 9502, 8639]}
AP22775;AP22775;AP22775;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22776;AP22776;AP22776;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22777;AP22777;AP22777;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22778;AP22778;AP22778;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22791;AP22791;AP22791;;;;;;;;;;;;4;;;29;;;33;0;0;33;{'1': [], '2': [], '3': [], '4': [14833, 13430], '5': [3458, 3089, 4501, 6935, 4504, 3097, 4000, 4772, 1192, 3754, 4271, 1978, 3643, 573, 1093, 2117, 3147, 6476, 2144, 995, 5603, 4837, 3431, 1390, 1267, 1270, 4727, 1656, 505, 9980]}
AP22790;AP22790;AP22790;;;;;;;;;;;;;;;;;;0;0;0;0;{'1': [], '2': [], '3': [], '4': [], '5': []}
AP22792;AP22792;AP22792;;;;;;;;;;;;6;;;15;;;21;0;0;21;{'1': [], '2': [], '3': [], '4': [13912, 12314, 14471], '5': [7811, 5065, 490, 587, 2012, 6665, 4252, 437, 1493, 2774, 2136, 4249, 667, 796, 5406]}
AP22794;AP22794;AP22794;;;540;;;3550;;;5393;;;7435;;;4;;;16922;0;0;16922;{'1': [1536, 12199, 10253, 13236, 13174], '2': [5632, 5123, 12295, 14862, 5658, 9758, 13870, 14894, 5691, 13897, 3673, 11356, 12388, 5221, 13417, 13419, 11383, 11896, 12413, 14475, 10916, 2728, 9898, 9901, 7861, 10423, 11960, 11967, 10432, 10433, 1730, 10948, 14027, 10448, 12503, 219, 10461, 10979, 10468, 12004, 12006, 9959, 9985, 10498, 10502, 4879, 10002, 13080, 3353, 6949, 13097, 13109, 10552, 13116, 14655, 13127, 13138, 13651, 3414, 10583, 11095, 13148, 10595, 5989, 13158, 10597, 5993, 10602, 2411, 12140, 13163, 7557, 13711, 4496, 5024, 13219, 1444, 13221, 12212, 4540, 14271, 4554, 10215, 7146, 13295], '3': [5123, 14339, 13322, 13325, 12815, 13842, 14866, 14357, 14882, 13349, 13350, 2087, 14378, 13867, 13868, 13869, 14380, 1586, 13875, 14387, 6200, 13880, 14395, 12860, 13884, 12863, 13895, 13385, 13897, 12876, 13900, 14925, 14928, 14939, 2143, 12895, 14944, 5219, 13411, 2663, 13416, 12908, 12909, 13934, 13424, 14961, 12921, 12922, 14458, 13948, 14459, 12926, 14468, 8838, 13959, 14471, 14988, 14478, 8847, 13459, 6804, 2201, 14491, 12956, 9885, 12959, 13984, 13985, 6822, 12457, 13994, 4267, 12971, 14507, 2734, 13999, 12978, 12979, 12981, 6838, 14011, 12988, 14523, 4799, 1218, 14532, 13510, 13513, 14537, 14539, 13004, 1742, 9934, 8912, 13526, 12503, 13527, 14557, 13023, 7904, 14563, 13032, 1257, 6381, 13039, 13045, 13046, 4855, 14581, 13564, 14589, 2814, 14596, 13064, 2318, 7951, 13072, 14610, 13587, 13079, 13592, 13594, 8987, 14111, 1824, 13601, 295, 3883, 14125, 2352, 3376, 2354, 5940, 822, 823, 12599, 14646, 13116, 13118, 13120, 322, 834, 14663, 14665, 2892, 14673, 13654, 13658, 13659, 14683, 9055, 13663, 14687, 357, 2921, 13674, 5996, 7021, 13677, 7023, 7024, 13168, 10614, 14711, 13176, 6523, 5500, 12674, 6534, 14727, 14217, 12682, 13194, 3469, 1422, 7054, 14735, 12691, 13717, 13718, 408, 5019, 13212, 13726, 7071, 14239, 7073, 14330, 13220, 14246, 12712, 14250, 7090, 14258, 10165, 13238, 13751, 13752, 14264, 13755, 14783, 13252, 7109, 13775, 14287, 13777, 13779, 4054, 13270, 13786, 9179, 9180, 14302, 13279, 13280, 13284, 14820, 14822, 13287, 12780, 12781, 13292, 13293, 12784, 4593, 7154, 12785, 13299, 14829, 13306, 5117, 6654], '4': [1, 8200, 6153, 2058, 6156, 2062, 2067, 22, 6170, 6171, 31, 6175, 2084, 6181, 6182, 6183, 6184, 10276, 2092, 4143, 2103, 6200, 6204, 6206, 6207, 6211, 4165, 2118, 8263, 4172, 4173, 6231, 88, 6234, 4188, 6237, 6239, 2145, 4193, 4194, 6244, 6246, 2154, 2155, 6255, 6260, 2166, 2167, 8312, 6266, 2171, 2172, 6267, 6269, 6271, 4224, 6275, 2180, 2182, 4230, 6283, 8331, 2190, 6287, 2193, 2194, 6291, 6292, 4245, 6136, 6297, 6299, 6300, 8348, 8349, 2208, 6310, 168, 6312, 6318, 6319, 2227, 6329, 4290, 195, 196, 4291, 6338, 6345, 6349, 6350, 2256, 6353, 6355, 6358, 6359, 6360, 6361, 2269, 2271, 2272, 6374, 2279, 2280, 4327, 234, 6375, 6378, 6382, 2288, 6387, 2292, 246, 6394, 2299, 6396, 253, 4353, 6403, 4356, 8452, 6406, 4362, 4366, 272, 277, 2326, 281, 2332, 2334, 2338, 2341, 4391, 2354, 2357, 313, 2362, 4417, 2378, 2379, 2381, 10577, 340, 2388, 2397, 352, 357, 2405, 4453, 2413, 2415, 4463, 4469, 374, 4470, 4485, 406, 2460, 2461, 4517, 4518, 426, 433, 2488, 4536, 2509, 8655, 2519, 2525, 478, 2528, 4579, 4583, 2537, 491, 4589, 495, 2562, 519, 2571, 2580, 535, 2583, 2590, 544, 4640, 2594, 2598, 2599, 2602, 560, 562, 2621, 4676, 2630, 585, 2633, 2658, 619, 2672, 4751, 2708, 2710, 2716, 2721, 2722, 2726, 683, 2739, 4790, 2743, 2745, 2758, 2769, 2773, 2774, 2775, 4822, 2777, 2792, 4840, 747, 748, 2799, 754, 2808, 765, 4861, 767, 4864, 769, 4870, 2827, 782, 4881, 786, 796, 4892, 4896, 2852, 810, 2861, 4914, 821, 833, 4935, 841, 2889, 4937, 4943, 2896, 4948, 2903, 2909, 863, 2912, 2917, 2924, 4972, 2935, 890, 2947, 4999, 5000, 906, 2961, 2964, 920, 923, 2981, 938, 2988, 946, 947, 948, 949, 5043, 957, 3010, 963, 3014, 973, 5069, 975, 976, 977, 5077, 982, 5079, 3037, 993, 995, 7154, 1011, 7159, 3065, 3066, 5114, 7166, 1024, 3073, 1028, 3076, 3078, 5132, 1046, 3099, 5153, 1065, 1067, 5164, 5169, 1079, 3133, 3139, 3141, 3147, 3149, 1122, 1127, 5228, 5230, 7278, 3186, 3199, 3200, 5257, 3210, 1164, 5263, 7315, 1172, 3221, 1174, 5272, 1181, 5281, 5283, 7339, 1203, 1206, 3257, 3263, 3264, 9413, 5318, 1224, 1226, 5328, 1233, 1234, 3283, 5339, 3295, 7391, 3299, 1253, 5351, 7401, 5355, 3309, 7406, 3317, 3320, 1278, 3327, 1280, 3334, 3339, 7435, 5389, 1296, 1298, 3357, 5407, 5408, 7456, 1314, 5414, 5424, 1333, 1334, 1337, 1342, 1346, 5445, 1352, 5457, 1363, 1370, 5477, 3433, 3435, 1391, 5487, 1395, 1396, 1400, 5496, 5501, 3454, 1411, 1414, 5510, 5512, 5521, 1426, 5522, 1428, 3477, 5528, 1438, 1439, 1440, 5549, 1462, 5560, 5565, 1473, 7619, 1477, 1479, 1480, 7629, 1492, 1493, 1501, 1507, 5604, 3557, 1517, 1526, 1530, 5629, 1541, 5640, 1549, 1557, 5666, 3623, 3628, 3632, 1593, 1596, 1600, 3649, 3650, 3652, 1607, 7752, 5705, 5709, 3663, 1621, 5718, 1632, 3682, 1645, 1648, 3696, 5746, 7793, 7795, 7796, 5755, 1662, 7808, 1665, 1667, 1668, 3717, 5767, 3720, 1673, 5775, 3731, 5779, 3736, 1689, 3741, 3742, 5791, 5794, 3751, 3752, 5807, 1722, 1725, 5822, 1728, 5826, 1733, 1742, 1748, 5847, 3804, 1761, 5861, 5867, 7915, 3822, 1784, 5881, 1790, 5891, 1797, 1803, 1805, 1810, 1812, 3864, 1817, 5925, 3881, 1843, 1844, 1852, 3900, 1854, 8006, 1863, 5964, 5968, 5971, 5973, 1878, 3931, 5979, 1887, 8031, 3937, 5989, 5991, 1897, 1899, 1905, 6001, 1907, 8051, 1911, 1917, 6018, 1926, 1928, 6024, 6028, 6030, 1935, 6032, 1938, 1939, 3987, 6037, 6038, 8083, 3993, 6042, 3996, 1949, 6051, 6055, 1961, 6057, 6058, 4012, 6065, 8115, 1972, 6072, 6073, 6075, 6078, 1985, 6081, 1988, 1990, 6088, 6092, 4052, 6102, 6105, 6106, 4060, 6109, 2016, 4066, 2023, 6124, 2032, 4080, 2040, 2041, 6139, 6142, 6143], '5': [65, 582, 1257, 9230, 11538, 2004]}
AP22798;AP22798;AP22798;;;330;;;360;60;;371;;;656;;;;;;1717;60;0;1777;{'1': [213], '2': [7911, 4907, 14221, 8367, 11411, 5173, 2103, 5688], '3': [14019, 14789, 14695, 14120, 13804, 9068, 13806, 14221, 13744, 14254, 14385, 13493, 14837, 14201, 14938, 12957, 14526, 14591], '4': [4996, 3589, 7812, 2952, 393, 3080, 11, 524, 3852, 4106, 1807, 5773, 4501, 23, 2713, 3865, 5532, 5662, 2848, 419, 1188, 3365, 5031, 5672, 1839, 5935, 4661, 3130, 6979, 5829, 3654, 4807, 5192, 4169, 5194, 3660, 2513, 5585, 85, 3164, 5727, 5092, 2533, 615, 5483, 620, 1775, 5233, 501, 1782], '5': [13800, 9069]}
